entity_id,entity_type,canonical_name,disposition,reason,future_repo_layer,future_repo_path,future_owner,target_phase,target_wave,proof_class,closure_condition
dsh_partner_order_handling,operation_family,Partner Order Handling,REBUILD_CLEAN,"partner execution must stay in one clean workspace",packages_surfaces,packages/surfaces/src/dsh/app-partner/dsh_partner_order_workspace,dsh,12,W02,fixtures_only,"partner workspace exists and does not leak into control-panel"
dsh_partner_store_maintenance,operation_family,Partner Store Maintenance,REBUILD_CLEAN,"store readiness cluster needs clean narrowing",packages_surfaces,packages/surfaces/src/dsh/app-partner/dsh_partner_store_maintenance_workspace,dsh,12,W03,fixtures_only,"maintenance stays separate from main workspace"
dsh_captain_offer_and_acceptance,operation_family,Captain Offer And Acceptance,REBUILD_CLEAN,"captain entry needs clean claim path",packages_surfaces,packages/surfaces/src/dsh/app-captain/dsh_captain_offers_list,dsh,12,W03,fixtures_only,"offers list exists with explicit entry rule"
dsh_captain_delivery_execution,operation_family,Captain Delivery Execution,REBUILD_CLEAN,"donor step split must compress into one clean workspace",packages_surfaces,packages/surfaces/src/dsh/app-captain/dsh_captain_execution_workspace,dsh,12,W03,fixtures_only,"captain workspace exists with step progression states"
dsh_delivery_proof_and_verification,operation_family,Delivery Proof And Verification,REBUILD_CLEAN,"proof gate must remain explicit",packages_surfaces,packages/surfaces/src/dsh/app-captain/dsh_captain_proof_capture,dsh,12,W03,fixtures_only,"proof capture screen exists with verification states"
dsh_field_activation_support,operation_family,Field Activation Support,REBUILD_CLEAN,"keep optional and narrow",packages_surfaces,packages/surfaces/src/dsh/app-field/dsh_field_activation_workspace,dsh,12,W05,fixtures_only,"field workspace exists without broader route tree"
dsh_proxy_request_flow,operation_family,Proxy Request Flow,REBUILD_CLEAN,"dual-surface proxy path is evidence-backed but donor implementation is unsafe to copy",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_proxy_request_review_workspace,dsh,12,W04,fixtures_only,"client and ops proxy screens exist with clean split"
dsh_ops_governance_controls,operation_family,Operations Governance Controls,REBUILD_CLEAN,"internal governance must remain narrow and clean",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_ops_orders_board,dsh,12,W04,fixtures_only,"ops screens exist without mirrored staff execution"
dsh_runtime_shein_proxy,runtime_var,SHEIN Proxy Runtime Vars,EXTRACT_PARTIAL,"explicit runtime feature toggle evidence exists",services,services/dsh/runtime/shein-proxy.yaml,dsh,22,W09,runtime_ready,"runtime class and ownership are explicitly sealed"
dsh_donor_api_clients,binding_root,Donor API Clients,REFERENCE_ONLY,"use as trace only, not as target truth",kdt_evidence,kdt/volatile/registry/runs/20260407-200353/services/dsh/09_BINDING_AND_RUNTIME_NOTES.md,dsh,21,W08,reference_only,"binding targets are rebuilt cleanly"
dsh_donor_state_slice,state_root,Donor DSH Slice,REFERENCE_ONLY,"state pressure evidence only",kdt_evidence,kdt/volatile/registry/runs/20260407-200353/services/dsh/09_BINDING_AND_RUNTIME_NOTES.md,dsh,16,W08,reference_only,"state anatomy is owned by clean target screens"
dsh_client_entry_discovery_home,screen,Client Entry Discovery Home,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_entry_discovery_home,dsh,13,W01,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_client_category_or_store_detail,screen,Client Category Or Store Detail,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_category_or_store_detail,dsh,13,W01,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_client_cart_review,screen,Client Cart Review,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_cart_review,dsh,13,W01,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_client_checkout_confirm,screen,Client Checkout Confirm,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_checkout_confirm,dsh,13,W01,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_client_active_order_tracking,screen,Client Active Order Tracking,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_active_order_tracking,dsh,13,W02,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_client_proxy_request_entry,screen,Client Proxy Request Entry,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_proxy_request_entry,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_client_proxy_request_tracking,screen,Client Proxy Request Tracking,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-client/dsh_client_proxy_request_tracking,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_partner_orders_board,screen,Partner Orders Board,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-partner/dsh_partner_orders_board,dsh,13,W02,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_partner_order_workspace,screen,Partner Order Workspace,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-partner/dsh_partner_order_workspace,dsh,13,W02,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_partner_store_maintenance_workspace,screen,Partner Store Maintenance Workspace,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-partner/dsh_partner_store_maintenance_workspace,dsh,13,W03,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_partner_order_issue_queue,screen,Partner Order Issue Queue,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-partner/dsh_partner_order_issue_queue,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_captain_offers_list,screen,Captain Offers List,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-captain/dsh_captain_offers_list,dsh,13,W03,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_captain_execution_workspace,screen,Captain Execution Workspace,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-captain/dsh_captain_execution_workspace,dsh,13,W03,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_captain_proof_capture,screen,Captain Proof Capture,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-captain/dsh_captain_proof_capture,dsh,13,W03,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_field_activation_workspace,screen,Field Activation Workspace,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/app-field/dsh_field_activation_workspace,dsh,13,W05,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_ops_orders_board,screen,Ops Orders Board,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_ops_orders_board,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_ops_order_detail_exception_workspace,screen,Ops Order Detail Exception Workspace,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_ops_order_detail_exception_workspace,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_ops_peak_mode_control,screen,Ops Peak Mode Control,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_ops_peak_mode_control,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_proxy_requests_list,screen,Proxy Requests List,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_proxy_requests_list,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
dsh_proxy_request_review_workspace,screen,Proxy Request Review Workspace,REBUILD_CLEAN,"clean target candidate already exists",packages_surfaces,packages/surfaces/src/dsh/control-panel/dsh_proxy_request_review_workspace,dsh,13,W04,fixtures_only,"screen file and route target exist and pass Gate A"
