route_id,surface,screen_id,file_path,route_exists,mounted_from,entry_point,loading_state,empty_state,error_state,offline_state,disabled_state,success_state,primary_cta,cta_destination,rtl_risk,overflow_risk,status,notes
dsh-tracking,app-client,client.dsh.order.tracking.live,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,YES,stack-push from dsh-orders (FLOW_STEP),/dsh/orders/:orderId/tracking,YES,NO,YES,YES,NO,YES,Track order,dsh-conversation-workspace (chat) or dsh-order-issue-workspace,HIGH,LOW,VERIFIED,P0 deepLink supported; captain name and address in Arabic; ML-008 refund state needed here; grouped in same file as orders (acceptable)
dsh-order-rating,app-client,client.dsh.order.rating,dsh/frontend/app-client/screens/DshRatingScreen.tsx,YES,stack-push from dsh-tracking after delivery — sheet candidate (FLOW_STEP),/dsh/orders/:orderId/rating,YES,NO,YES,NO,NO,YES,Submit rating,dsh-orders,LOW,LOW,READY_FOR_REVIEW,P2 short text + star rating — LOW RTL risk; recommend converting to sheet in Loop 5
dsh-checkout-intent,app-client,client.dsh.checkout.intent,dsh/frontend/app-client/screens/DshCheckoutIntentScreen.tsx,YES,stack-push from dsh-cart (FLOW_STEP),/dsh/checkout-intent,YES,NO,YES,NO,NO,NO,Confirm order,WLT payment handoff → order-created state (ML-006),MEDIUM,LOW,READY_FOR_REVIEW,P0 fallback=dsh-cart; WLT payment handoff — success_state is order-created (MISSING — ML-006); payment-failed state needed (ML-009)
dsh-partner-home,app-partner,partner.dsh.home.dashboard,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,YES,app-shell/tab-navigator (TAB_ROOT),/dsh/partner,YES,YES,YES,YES,NO,YES,View orders,dsh-partner-orders,HIGH,MEDIUM,VERIFIED,P0 PartnerHubScreen hosts 3 registered screens — god-screen risk; store name and order counts in Arabic
dsh-partner-entry,app-partner,partner.dsh.entry.status,dsh/frontend/app-partner/screens/PartnerEntryScreen.tsx,YES,app-shell/tab-navigator or initial-stack (SCREEN_ENTRY),/dsh/partner/entry,YES,YES,YES,YES,NO,YES,Activate store,dsh-partner-home,LOW,LOW,VERIFIED,P0 gate screen; blocked state if not yet activated
dsh-partner-store-profile,app-partner,partner.dsh.store.profile,dsh/frontend/app-partner/screens/StoreProfileScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/partner/store-profile,YES,YES,YES,YES,NO,YES,Edit profile,dsh-partner-store-profile (self after save),MEDIUM,LOW,VERIFIED,P1 store name and description in Arabic
dsh-partner-operations,app-partner,partner.dsh.operations.control,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,YES,tab-navigator / stack from dsh-partner-home (SCREEN_ENTRY),/dsh/partner/operations,YES,YES,YES,YES,YES,YES,Manage operations,dsh-partner-orders,HIGH,MEDIUM,VERIFIED,P0 shares PartnerHubScreen with home and settings — god-screen risk; availability toggle gap ML-017
dsh-partner-orders,app-partner,partner.dsh.orders.inbox,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,YES,tab-navigator (SCREEN_ENTRY),/dsh/partner/orders,YES,YES,YES,YES,NO,YES,Accept order,dsh-partner-order-detail,HIGH,LOW,VERIFIED,P0 acceptance timer gap ML-016; preparation states ML-018 ML-019 ML-020 needed
dsh-partner-order-detail,app-partner,partner.dsh.order.detail,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,YES,stack-push from dsh-partner-orders (FLOW_STEP),/dsh/partner/orders/:orderId,YES,YES,YES,YES,NO,YES,Prepare order,dsh-partner-orders (after mark-ready),HIGH,LOW,VERIFIED,P0 shares OrdersInboxScreen file — acceptable same flow; mark-ready CTA state gap ML-020
dsh-partner-order-issue,app-partner,partner.dsh.order.issue,dsh/frontend/app-partner/screens/OperationScreens.tsx,YES,stack-push or sheet from dsh-partner-order-detail (FLOW_STEP — sheet candidate),/dsh/partner/orders/:orderId/issue,YES,YES,YES,YES,NO,YES,Report issue,dsh-partner-order-detail (after report),HIGH,MEDIUM,VERIFIED,P0 lives in OperationScreens; candidate for sheet within order detail
dsh-partner-inventory,app-partner,partner.dsh.inventory.catalog,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,YES,tab-navigator (SCREEN_ENTRY),/dsh/partner/inventory,YES,YES,YES,YES,NO,YES,Update inventory,dsh-partner-inventory (self after update),HIGH,LOW,VERIFIED,P0 item names and prices in Arabic
dsh-partner-promotions,app-partner,partner.dsh.promotions.intent,dsh/frontend/app-partner/screens/PromotionsScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/partner/promotions,YES,YES,YES,YES,NO,YES,Enroll in promotion,dsh-partner-promotions (self after enrollment),MEDIUM,LOW,VERIFIED,P1 promotion names in Arabic; video submission section ownership ML-023
dsh-partner-notifications,app-partner,partner.dsh.notifications.list,dsh/frontend/app-partner/screens/OperationScreens.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/partner/notifications,YES,YES,YES,YES,NO,YES,View notification,dsh-partner-order-detail (if order alert),HIGH,MEDIUM,VERIFIED,P1 Arabic notification content — HIGH RTL risk; shares OperationScreens with order-issue
dsh-partner-settings,app-partner,partner.dsh.settings.preferences,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,YES,tab-navigator / stack from dsh-partner-home (SCREEN_ENTRY),/dsh/partner/settings,YES,NO,YES,YES,NO,YES,Save settings,dsh-partner-home (after save),LOW,MEDIUM,VERIFIED,P1 shares PartnerHubScreen — god-screen risk
dsh-partner-support,app-partner,partner.dsh.support.center,dsh/frontend/app-partner/screens/PartnerSupportScreen.tsx,YES,stack-navigator from tab-navigator (SCREEN_ENTRY),/dsh/partner/support,YES,YES,YES,YES,NO,YES,Contact support,dsh-partner-support (self — open issue),MEDIUM,LOW,VERIFIED,P0 ops-side support workspace ML-051 must be built in CP to complete this loop
wlt-dsh-partner-wallet-bridge,app-partner,partner.wlt.dsh.wallet.bridge,wlt/frontend/app-partner/dsh/WltDshPartnerBridge.tsx,YES,stack-push from tab-navigator via WLT deep link (FLOW_STEP — WLT-owned),/wlt/dsh/partner/wallet,YES,YES,YES,YES,YES,YES,View wallet,WLT (external — WLT-owned),HIGH,LOW,VERIFIED,P0 WLT-owned; DO NOT add finance logic in DSH; financial amounts in Arabic numerals
dsh-partner-order-rejection,app-partner,partner.dsh.order.rejection,dsh/frontend/app-partner/screens/DshPartnerOrderRejectionScreen.tsx,YES,stack-push or sheet from dsh-partner-order-detail (FLOW_STEP — sheet candidate),/dsh/partner/orders/:orderId/rejection,YES,NO,YES,NO,NO,YES,Reject order,dsh-partner-orders (after rejection),LOW,LOW,READY_FOR_REVIEW,P0 ownerKind=app — consider ownerKind=service|dsh; candidate for sheet conversion
dsh-captain-home,app-captain,captain.dsh.home.dashboard,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,app-shell/tab-navigator (TAB_ROOT — god-file),/dsh/captain,NO,NO,NO,YES,NO,YES,View orders,dsh-captain-inbox,HIGH,HIGH,VERIFIED,P1 DshCaptainSurface.tsx hosts 7 registered screens — god-file; availability toggle ML-026 needed; split in Loop 5
dsh-captain-entry,app-captain,captain.dsh.entry,dsh/frontend/app-captain/screens/DshCaptainEntryScreen.tsx,YES,app-shell/tab-navigator or initial-stack (SCREEN_ENTRY),/dsh/captain/entry,YES,YES,YES,NO,NO,YES,Go online,dsh-captain-home,LOW,LOW,VERIFIED,P1 gate screen; availability toggle ML-026 may live here
dsh-captain-inbox,app-captain,captain.dsh.orders.inbox,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,YES,tab-navigator (SCREEN_ENTRY),/dsh/captain/orders,YES,YES,YES,NO,NO,YES,Accept offer,dsh-captain-detail,HIGH,LOW,VERIFIED,P0 offer decline ML-024; offer accept state ML-027 ML-028 needed
dsh-captain-detail,app-captain,captain.dsh.orders.detail,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,YES,stack-push from dsh-captain-inbox (FLOW_STEP),/dsh/captain/orders/:orderId,NO,NO,YES,NO,NO,YES,Navigate to pickup,dsh-captain-pickup-dropoff,HIGH,LOW,VERIFIED,P0 store address and client address in Arabic; shares DshCaptainOrdersScreen with inbox (acceptable — same flow)
dsh-captain-order-chat,app-captain,captain.dsh.orders.chat,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,YES,bottom-sheet from dsh-captain-detail (FLOW_STEP — sheet candidate),/dsh/captain/orders/:orderId/chat,NO,NO,YES,NO,NO,YES,Send message,dsh-captain-detail,HIGH,LOW,VERIFIED,P1 Arabic chat messages — HIGH RTL risk; sheet candidate; shares DshCaptainOrdersScreen
dsh-captain-bell,app-captain,captain.dsh.orders.bell,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,YES,modal-presentation from dsh-captain-inbox or dsh-captain-detail (MODAL — sheet candidate),/dsh/captain/bell,YES,YES,YES,NO,NO,YES,View alert,dsh-captain-inbox,LOW,LOW,VERIFIED,P1 same pattern as client bell; sheet candidate
dsh-captain-support-directory,app-captain,captain.dsh.support.directory,dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx,YES,stack-push from dsh-captain-home (FLOW_STEP),/dsh/captain/support-directory,NO,NO,YES,NO,NO,YES,Contact ops,dsh-captain-support-screen,MEDIUM,LOW,VERIFIED,P1 support directory before escalation workspace
dsh-captain-support-screen,app-captain,captain.dsh.support.workspace,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,stack-push from dsh-captain-support-directory (FLOW_STEP — god-file split needed),/dsh/captain/support,NO,NO,YES,NO,NO,YES,Message ops,dsh-captain-support-screen (self),HIGH,HIGH,VERIFIED,P1 lives in DshCaptainSurface god-file — ML-030 extract in Loop 5; ops-side ML-052 missing; Arabic messages HIGH RTL risk
dsh-captain-account,app-captain,captain.dsh.account.root,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,app-shell/tab-navigator (TAB_ROOT — god-file),/dsh/captain/account,NO,NO,NO,NO,NO,YES,View account,dsh-captain-account-profile,HIGH,HIGH,VERIFIED,P2 TAB_ROOT in god-file — split needed in Loop 5; Arabic name and earnings data
dsh-captain-account-profile,app-captain,captain.dsh.account.profile,dsh/frontend/app-captain/screens/DshCaptainProfileScreen.tsx,YES,stack-push from dsh-captain-account (FLOW_STEP),/dsh/captain/account/profile,YES,YES,YES,NO,NO,YES,Edit profile,dsh-captain-account,MEDIUM,LOW,VERIFIED,P2 Arabic name edit; LOW complexity
dsh-captain-account-finance,app-captain,captain.dsh.account.finance,dsh/frontend/app-captain/screens/DshCaptainFinanceScreen.tsx,YES,stack-push from dsh-captain-account (FLOW_STEP),/dsh/captain/account/finance,YES,YES,YES,NO,NO,YES,View balance,wlt-dsh-captain-finance-bridge,HIGH,LOW,VERIFIED,P2 WLT integration; financial amounts in Arabic numerals
dsh-captain-account-orders,app-captain,captain.dsh.account.orders,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,stack-push from dsh-captain-account (FLOW_STEP — god-file split needed),/dsh/captain/account/orders,NO,NO,NO,NO,NO,YES,View history,dsh-captain-account-orders (self/detail),HIGH,HIGH,VERIFIED,P1 god-file — ML-030 area; order history in Arabic; split in Loop 5
dsh-captain-account-docs,app-captain,captain.dsh.account.docs,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,stack-push from dsh-captain-account (FLOW_STEP — god-file split needed),/dsh/captain/account/docs,NO,NO,NO,NO,NO,YES,View docs,dsh-captain-account-docs (self/detail),MEDIUM,HIGH,VERIFIED,P2 god-file — document list; split in Loop 5
dsh-captain-account-shifts,app-captain,captain.dsh.account.shifts,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,stack-push from dsh-captain-account (FLOW_STEP — god-file split needed),/dsh/captain/account/shifts,NO,NO,NO,NO,NO,YES,View shifts,dsh-captain-account-shifts (self/detail),MEDIUM,HIGH,VERIFIED,P2 god-file — shift times and dates; split in Loop 5
dsh-captain-account-support,app-captain,captain.dsh.account.support,dsh/frontend/app-captain/DshCaptainSurface.tsx,YES,stack-push from dsh-captain-account (FLOW_STEP — god-file split needed),/dsh/captain/account/support,NO,NO,NO,NO,NO,YES,Contact support,dsh-captain-support-screen,MEDIUM,HIGH,VERIFIED,P2 god-file — routes to support screen; split in Loop 5
wlt-dsh-captain-finance-bridge,app-captain,captain.wlt.dsh.finance.bridge,wlt/frontend/app-captain/dsh/WltDshCaptainBridge.tsx,YES,stack-push from dsh-captain-account-finance (FLOW_STEP — WLT bridge),/wlt/dsh/captain/finance,YES,YES,YES,YES,YES,YES,View payout,WLT (external — WLT-owned),HIGH,LOW,VERIFIED,P0 WLT-owned; DO NOT add finance logic in DSH; financial amounts in Arabic numerals
dsh-captain-pickup-dropoff,app-captain,captain.dsh.orders.pickup-dropoff,dsh/frontend/app-captain/screens/DshCaptainPickupDropoffScreen.tsx,YES,stack-push from dsh-captain-detail (FLOW_STEP),/dsh/captain/orders/:orderId/pickup-dropoff,NO,NO,NO,NO,NO,YES,Confirm pickup,dsh-captain-pod-submission,MEDIUM,LOW,READY_FOR_REVIEW,P1 ML-025: DshCaptainMapScreen unregistered — navigation integration blocked; ML-029: in-transit state missing; ML-031: PoD rejection state missing
dsh-captain-pod-submission,app-captain,captain.dsh.orders.pod-submission,dsh/frontend/app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,YES,stack-push from dsh-captain-pickup-dropoff (FLOW_STEP),/dsh/captain/orders/:orderId/pod,YES,NO,YES,NO,NO,YES,Submit proof,dsh-captain-inbox (after delivery complete),LOW,LOW,READY_FOR_REVIEW,P1 ML-031: rejection/retry state MISSING; after rejection captain sees nothing
dsh-field-stores,app-field,field.dsh.stores.list,dsh/frontend/app-field/screens/DshFieldStoresScreen.tsx,YES,app-shell/tab-navigator (TAB_ROOT),/dsh/field/stores,YES,YES,YES,YES,NO,YES,Select store,dsh-field-onboarding,HIGH,LOW,VERIFIED,P0 primary field surface; Arabic store names and addresses
dsh-field-onboarding,app-field,field.dsh.store.onboarding,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,YES,stack-push from dsh-field-stores (FLOW_STEP),/dsh/field/stores/:storeId/onboarding,NO,NO,NO,NO,YES,YES,Complete onboarding step,dsh-field-visit,MEDIUM,LOW,VERIFIED,P0 ML-002: document verification section MISSING; ML-004: readiness escalation ops-dependency; ML-005: post-activation exit state MISSING
dsh-field-visit,app-field,field.dsh.store.visit,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,YES,stack-push from dsh-field-onboarding (FLOW_STEP),/dsh/field/stores/:storeId/visit,YES,YES,YES,YES,YES,YES,Submit visit,dsh-field-stores (after submit),LOW,LOW,VERIFIED,P0 ML-003: photo/evidence capture section not confirmed; evidence submission must work offline-first
dsh-field-account,app-field,field.dsh.account.home,dsh/frontend/app-field/screens/DshFieldProfileHomeScreen.tsx,YES,tab-navigator (SCREEN_ENTRY),/dsh/field/account,NO,NO,NO,NO,NO,YES,View account,dsh-field-profile,HIGH,LOW,VERIFIED,P1 ownerKind=app; agent name and earnings in Arabic
dsh-field-profile,app-field,field.dsh.account.profile,dsh/frontend/app-field/screens/DshFieldProfileScreen.tsx,YES,stack-push from dsh-field-account (FLOW_STEP),/dsh/field/account/profile,NO,NO,NO,NO,NO,YES,Edit profile,dsh-field-account,MEDIUM,LOW,VERIFIED,P2 ownerKind=app; Arabic name edit
dsh-field-history,app-field,field.dsh.stores.history,dsh/frontend/app-field/screens/DshFieldStoresHistoryScreen.tsx,YES,stack-push from dsh-field-account (FLOW_STEP),/dsh/field/history,NO,YES,NO,NO,NO,YES,View history,dsh-field-history (self/detail),HIGH,LOW,VERIFIED,P2 Arabic store visit history
dsh-field-finance,app-field,field.dsh.finance.overview,dsh/frontend/app-field/screens/DshFieldFinanceScreen.tsx,YES,stack-push from dsh-field-account (FLOW_STEP),/dsh/field/finance,YES,NO,YES,YES,NO,YES,View earnings,wlt-dsh-field-finance-bridge,HIGH,LOW,VERIFIED,P1 WLT integration; financial amounts in Arabic numerals
wlt-dsh-field-finance-bridge,app-field,field.wlt.dsh.finance.bridge,wlt/frontend/app-field/dsh/WltDshFieldBridge.tsx,YES,stack-push from dsh-field-finance (FLOW_STEP — WLT bridge),/wlt/dsh/field/finance,YES,YES,YES,YES,YES,YES,View payout,WLT (external — WLT-owned),HIGH,LOW,VERIFIED,P1 WLT-owned; DO NOT add finance logic in DSH; commission amounts in Arabic numerals
dsh-field-readiness-escalation,app-field,field.dsh.store.readiness-escalation,dsh/frontend/app-field/screens/DshFieldReadinessEscalationScreen.tsx,YES,stack-push or sheet from dsh-field-visit (FLOW_STEP — sheet candidate),/dsh/field/stores/:storeId/escalation,YES,NO,YES,NO,NO,YES,Escalate to ops,dsh-field-stores (after escalation),LOW,LOW,READY_FOR_REVIEW,P2 ownerKind=app; ML-004: ops response state PARTIAL (ML-001 ops approval missing); candidate for sheet conversion
