screen_id,surface,flow_step,needed_data,needed_action,existing_source,existing_contract,required_contract_gap,binding_status,runtime_status,status,notes
captain.dsh.orders.chat,app-captain,messaging,GET conversation thread with client for order,POST message to client,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-030 CG-031 — GET+POST /dsh/messaging/:orderId/messages with thread_type=client
captain.dsh.orders.bell,app-captain,notifications,GET captain offer alerts and system notifications,PUT alert dismissed,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain alerts API — subset of notifications; GET /dsh/captain/notifications?type=alert
captain.dsh.support.directory,app-captain,support,GET support directory (contacts / escalation options),none (read-only directory),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Support directory API — static or semi-static GET /dsh/captain/support/directory
captain.dsh.support.workspace,app-captain,support-escalation,GET conversation thread with ops for order / issue,POST message to ops,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-030 CG-031 — GET+POST /dsh/messaging/:orderId/messages with thread_type=ops; ML-034 ops-side missing
captain.dsh.account.root,app-captain,account,GET captain account summary (name / rating / earnings preview),none (read-only hub),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain account API — GET /dsh/captain/account; aggregates profile / orders / finance
captain.dsh.account.profile,app-captain,account-profile,GET captain profile (name / docs / rating / zone),PUT captain profile,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain profile API — GET+PUT /dsh/captain/profile; Arabic name
captain.dsh.account.finance,app-captain,account-finance,GET captain COD balance / payout summary (WLT bridge entry),none (read-only — routes to WLT bridge),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain finance entry — GET /dsh/captain/finance (COD balance from DSH); payout details from WLT bridge
captain.dsh.account.orders,app-captain,account-history,GET captain order delivery history paginated,none (read-only list),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain order history API — GET /dsh/captain/orders?status=completed; god-file split needed
captain.dsh.account.docs,app-captain,account-docs,GET captain compliance documents list with expiry,POST/PUT doc renewal,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain docs API — GET /dsh/captain/docs; renewal dates and expiry in Arabic locale
captain.dsh.account.shifts,app-captain,account-shifts,GET captain shift schedule and history,PUT shift availability,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Captain shifts API — GET+PUT /dsh/captain/shifts; overlaps with CG-019 availability toggle
captain.dsh.account.support,app-captain,account-support,GET support options for account-level issues,POST account support ticket,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Derives from CG-012 variant — POST /dsh/captain/support/tickets; account-level not order-level
captain.wlt.dsh.finance.bridge,app-captain,captain-finance,WLT-owned — DSH reads WLT bridge response only,none — WLT handles all actions,WLT bridge (external),none — WLT-owned,NO,UI_PREVIEW_ONLY,UNPROVEN,WLT_BRIDGE_ONLY,WLT-owned entirely; captain payout and settlement are WLT-owned; DO NOT add finance logic in DSH
captain.dsh.orders.pickup-dropoff,app-captain,pickup-delivery,GET order pickup address / store contact / COD flag / current step,POST arrive-pickup / POST confirm-pickup / POST arrive-dropoff / POST delivery,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-016 (arrive+confirm pickup) CG-017 (arrive+confirm delivery); ML-025 DshCaptainMapScreen unregistered blocks navigation integration; ML-029 in-transit state
captain.dsh.orders.pod-submission,app-captain,proof-of-delivery,GET order summary and dropoff confirmation for PoD context,POST proof of delivery (photo/signature upload / COD collection note),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-018 — POST /dsh/captain/orders/:id/pod with media; ML-031 rejection/retry state needs GET PoD status after ops review
field.dsh.stores.list,app-field,field-onboarding,GET field agent assigned stores list with onboarding status,none (read-only list),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-024 context — GET /dsh/field/stores?agentId=:id; store status (pending / visiting / activated)
field.dsh.store.onboarding,app-field,field-onboarding,GET onboarding checklist for store with step completion status,POST onboarding step completion (with evidence),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-024 — POST /dsh/field/stores/:id/onboarding with step data; ML-002 document section ML-005 exit state
field.dsh.store.visit,app-field,field-visit,GET visit template for store / GET previous visit history,POST visit record (with photo evidence and notes),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-025 — POST /dsh/field/stores/:id/visit with media; ML-003 photo capture section confirmation needed
field.dsh.account.home,app-field,field-account,GET field agent account summary (name / store count / commission preview),none (read-only hub),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Field account API — GET /dsh/field/account; ownerKind=app
field.dsh.account.profile,app-field,field-profile,GET field agent profile,PUT agent profile,preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Field profile API — GET+PUT /dsh/field/profile; Arabic name
field.dsh.stores.history,app-field,field-history,GET field agent visit history for completed stores paginated,none (read-only list),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-025 context — GET /dsh/field/visits/history?agentId=:id
field.dsh.finance.overview,app-field,field-finance,GET field agent COD balance / commission summary (DSH-owned entry + WLT bridge),none (read-only — routes to WLT bridge for details),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,Field finance entry — GET /dsh/field/finance (commission summary from DSH); details from WLT bridge
field.wlt.dsh.finance.bridge,app-field,field-finance,WLT-owned — DSH reads WLT bridge response only,none — WLT handles all actions,WLT bridge (external),none — WLT-owned,NO,UI_PREVIEW_ONLY,UNPROVEN,WLT_BRIDGE_ONLY,WLT-owned entirely; field commission is WLT-owned; DO NOT add finance logic in DSH
field.dsh.store.readiness-escalation,app-field,field-escalation,GET store onboarding status and evidence for escalation context,POST readiness escalation (with reason and photos),preview fixture data,none — UI_PREVIEW_ONLY,YES,UI_PREVIEW_ONLY,UNPROVEN,NEEDS_CONTRACT_GAP,CG-026 — POST /dsh/field/stores/:id/escalation; ML-004 pending-response state needs GET escalation status from ops
