gap_id,area,surface,actor,missing_point,gap_type,recommended_placement,why_needed,priority,blocked_by,status,risk_if_ignored,owner_service,finance_owner,counterpart_actor,notes
ML-011,client-messaging,app-client,client,Client↔Ops messaging state differentiation — same conversation workspace used for captain and ops,STATE,STATE within OperationScreens.tsx conversation-workspace (support-thread vs captain-thread),Both client↔captain and client↔ops use same conversation-workspace; no state differentiation between thread types,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — client cannot distinguish captain chat from ops support chat,dsh,none,ops,Cycle 3 wire: threadType prop added non-destructively to DshConversationHubScreen — captain-thread/support-thread label differentiation in OperationScreens.tsx; full thread separation OWNER_DECISION_REQUIRED
ML-012,client-discovery,app-client,client,Loyalty rewards detail section — LoyaltyRewardsScreen.tsx in parts/ not registered,SECTION,SECTION within BenefitsScreen.tsx (LoyaltyRewardsSection),LoyaltyRewardsScreen.tsx exists in parts/ but is not registered — must be section within BenefitsScreen not standalone route,P2,none,OWNER_DECISION_REQUIRED,LOW — benefits hub works but loyalty cashback detail is not surfaced,dsh,none,none,OWNER_DECISION_REQUIRED: placement decision needed (section within BenefitsScreen vs standalone route); import audit required before moving file from parts/
ML-013,client-discovery,app-client,client,Subscriptions section — SubscriptionsScreen.tsx in parts/ not registered,SECTION,SECTION within MySpaceScreen.tsx (SubscriptionsSection),SubscriptionsScreen.tsx exists in parts/ not registered — must be section within MySpaceScreen not standalone route,P2,none,OWNER_DECISION_REQUIRED,LOW — subscriptions not surfaced to client,dsh,none,none,OWNER_DECISION_REQUIRED: placement decision needed (section within MySpaceScreen vs standalone route); import audit required before moving file from parts/
ML-014,client-discovery,app-client,client,Video reels viewer — ApprovedVideoReelsViewer.tsx in parts/ not registered,SECTION,SECTION within HomeScreen.tsx or StoreScreen.tsx,Video reels viewer exists in parts/ not registered — must be section within discovery or store screen,P2,none,OWNER_DECISION_REQUIRED,LOW — video reels not visible to clients,dsh,none,none,OWNER_DECISION_REQUIRED: placement decision needed (HomeScreen vs StoreScreen); import audit required before moving from parts/
ML-015,client-order,app-client,client,Serviceability quote loading state — explicit loading/retry for quote not confirmed,STATE,STATE within DshCheckoutIntentScreen.tsx (quote-loading / quote-failed / quote-success),Quote loading is implied by checkout intent blocked state but is not explicit — loading→quote→blocked transition needs explicit states,P1,serviceability API (CG-004),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — client sees generic block while quote loads,dsh,none,none,V6: quote-loading state added to DshCheckoutIntentScreen.tsx state union and rendered with dedicated loading message
ML-016,partner-order,app-partner,partner,Partner acceptance timer/countdown — no timer state or countdown sheet exists,SHEET,SHEET within OrdersInboxScreen.tsx (acceptance-timer-sheet),Orders have an acceptance window; partner has no visible countdown which causes missed orders and SLA issues,P1,partner order API (CG-021),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — partner cannot track acceptance window; silent order expiry,dsh,none,client,Loop 4 skeleton: AcceptanceTimerSheet.tsx with countdown and auto-reject handling
ML-017,partner-order,app-partner,partner,Partner availability toggle — no availability on/off surface found,STATE,STATE within PartnerHubScreen.tsx or PartnerEntryScreen.tsx (availability-toggle),Partner needs to signal availability; currently no toggle or open/closed state for partner surface,P1,partner availability API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot know if partner is open; orders may go to unavailable partner,dsh,none,ops,Loop 4 skeleton: availability toggle STATE on hub or entry screen
ML-018,partner-order,app-partner,partner,Order preparation start state — no explicit preparation-started state in OrdersInboxScreen,STATE,STATE within OrdersInboxScreen.tsx (preparation-started),After accept the partner marks start of preparation; currently no explicit state — order detail shows accepted but not preparing,P1,partner order status API (CG-023),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot track preparation start; SLA monitoring breaks,dsh,none,ops,Add preparation-started STATE to order detail within OrdersInboxScreen
ML-019,partner-order,app-partner,partner,Order preparation progress state — no prep-progress state shown to partner,STATE,STATE within OrdersInboxScreen.tsx (preparing / items-ready),Preparation progress (started → items-ready) has no visible states; partner cannot signal progress to ops or captain,P1,partner order status API (CG-023),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — captain arrives at pickup with no prep status signal,dsh,none,captain,Add preparation-progress STATE to order detail within OrdersInboxScreen
ML-020,partner-order,app-partner,partner,Partner ready state and mark-ready CTA — not confirmed in OrdersInboxScreen,STATE,STATE within OrdersInboxScreen.tsx (ready-for-pickup + mark-ready CTA),Partner marks order ready for captain pickup; this state must be explicit with a CTA that triggers captain notification,P0,partner order status API (CG-023),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — captain is not notified to arrive at pickup without this state,dsh,none,captain,Mark-ready CTA and ready-for-pickup STATE are P0 flow steps; must be in order detail
ML-021,partner-order,app-partner,partner,Handoff to captain — no system event state visible to partner after marking ready,EVENT,EVENT STATE within OrdersInboxScreen.tsx (captain-assigned / captain-arriving),After partner marks ready the captain is assigned; partner has no visibility of this event,P1,captain assignment API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — partner does not know if captain accepted or is arriving,dsh,none,captain,V6: captain_assigned and captain_arriving added to PartnerOrderStatus type with resolveStatusLabel / resolveStatusTone / resolveOrderAction handlers in OrdersInboxScreen.tsx
ML-022,partner-messaging,app-partner,partner,Partner↔Ops messaging ops-side — app-partner has PartnerOrderConversationPanel but ops-side workspace is MISSING,OPS_ACTION,WORKSPACE in control-panel/support/ (ops↔partner messaging workspace),Partner can message from app but ops has no surface to receive or respond — messaging loop is broken,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — partner messages go unread by ops,dsh,none,ops,Ops-side workspace is OpsPartnerMessagingWorkspace.tsx (ML-051) — already created and exported from support/index.ts; BLOCKED_BY_CONTRACT (CG-030/031)
ML-023,partner-catalog,app-partner,partner,Partner video submission ownership unclear — PartnerVideoSubmissionPanel.tsx unclear if inventory or promotions,SECTION,SECTION within InventoryCatalogScreen.tsx or PromotionsScreen.tsx (clarify ownership),PartnerVideoSubmissionPanel.tsx exists but its parent screen is ambiguous — inventory or promotions,P2,Loop 3 ownership decision,OWNER_DECISION_REQUIRED,LOW — video submission exists but may be wrongly placed,dsh,none,ops,OWNER_DECISION_REQUIRED: if video is catalog-content → InventoryCatalogScreen; if promotional → PromotionsScreen; human product owner must decide
ML-024,captain-order,app-captain,captain,Captain offer decline with reason — no decline flow or reason collection exists,SHEET,SHEET within DshCaptainOrdersScreen.tsx (offer-decline-sheet with reason),Captain can see offers but has no decline path; silent non-response is assumed as decline which breaks SLA tracking,P1,captain offer API (CG-015),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot track decline reasons; reassignment is not triggered explicitly,dsh,none,ops,Loop 4 skeleton: OfferDeclineSheet.tsx with reason selection and reassignment trigger
ML-025,captain-navigation,app-captain,captain,DshCaptainMapScreen.tsx exists but is NOT registered in dsh-captain.screen-registry.ts,SCREEN,SCREEN registration in dsh-captain.screen-registry.ts + integration in captain pickup/dropoff flow,File exists at dsh/frontend/app-captain/screens/DshCaptainMapScreen.tsx but is unregistered — captain has no navigation/map surface in the lifecycle,P0,screen registry update (Loop 4),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — captain cannot navigate without a map screen; pickup and dropoff are non-functional,dsh,none,none,Loop 4: register DshCaptainMapScreen in dsh-captain.screen-registry.ts; wire into DshCaptainPickupDropoffScreen
ML-026,captain-availability,app-captain,captain,Captain availability toggle — no online/offline toggle surface found in app-captain,STATE,STATE within DshCaptainSurface.tsx or DshCaptainOrdersScreen.tsx (availability-toggle),Captain must signal availability to receive offers; no toggle or online/offline state exists in any captain screen,P1,captain availability API (CG-019),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — captain receives offers even when unavailable; or receives none when available,dsh,none,ops,Loop 4 skeleton: availability toggle STATE on captain home dashboard
ML-027,captain-order,app-captain,captain,Captain offer accept explicit state — accept CTA exists in inbox but no explicit offer-accept-confirmation state,STATE,STATE within DshCaptainOrdersScreen.tsx (offer-accepted / loading-assignment),After tapping accept there is no confirmed-accepted state shown before navigation to order detail,P1,captain offer API (CG-014),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — captain does not see confirmation before being navigated to order detail,dsh,none,none,V6: offer-accepting and offer-accepted states added to DshCaptainOrdersScreenState type and rendered in renderOrdersState function
ML-028,captain-order,app-captain,captain,Offer accept state incomplete — accept CTA exists but no dedicated offer-accept flow (PARTIAL),STATE,STATE within DshCaptainOrdersScreen.tsx (viewing offer / accepting / accepted),Offer viewing and accept CTA exist but the acceptance state machine is incomplete — no explicit offer-detail state separate from inbox,P1,captain offer API (CG-014),OWNER_DECISION_REQUIRED,P1 — captain accepts from list view without a dedicated offer-detail screen,dsh,none,none,OWNER_DECISION_REQUIRED: offer-detail state is inside DshCaptainSurface.tsx god-file; requires god-file split plan approval before extracting offer-detail sub-screen
ML-029,captain-delivery,app-captain,captain,In-transit state — out-for-delivery state needs explicit representation in DshCaptainPickupDropoffScreen,STATE,STATE within DshCaptainPickupDropoffScreen.tsx (out-for-delivery / navigating-to-dropoff),After pickup confirmation the captain is in-transit but this state is not explicitly shown — navigating state is missing,P1,none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — captain has no visual confirmation of in-transit state; app may show wrong state,dsh,none,client,Add explicit out-for-delivery and navigating-to-dropoff states to DshCaptainPickupDropoffScreen
ML-030,captain-support,app-captain,captain,Captain↔Ops support workspace lives in DshCaptainSurface.tsx god-file — needs split,SCREEN,SCREEN extracted from DshCaptainSurface.tsx to dsh/frontend/app-captain/screens/DshCaptainSupportWorkspaceScreen.tsx,Support workspace is one of 7 screens inside DshCaptainSurface.tsx god-file; cannot split without inventory,P1,god-file split plan (Loop 5),OWNER_DECISION_REQUIRED,P1 — god-file maintenance risk; support workspace cannot be independently tested or reviewed,dsh,none,ops,OWNER_DECISION_REQUIRED: split plan documented in DSH_V6_GOD_FILE_SPLIT_DECISIONS.md; human owner must approve before Loop 7 executes split
ML-031,captain-delivery,app-captain,captain,PoD rejection/retry state — DshCaptainPoDSubmissionScreen exists but rejection and retry states are not explicit,STATE,STATE within DshCaptainPoDSubmissionScreen.tsx (submitted / rejected / retry-required),PoD screen exists READY_FOR_REVIEW but has no explicit rejection state; when ops rejects PoD the captain sees nothing,P0,PoD API (CG-018),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — without rejection state captain cannot resubmit PoD; order stays falsely open,dsh,none,ops,Add rejected/retry STATE to DshCaptainPoDSubmissionScreen; trigger ops review on rejection
ML-032,ops-messaging,control-panel,ops,Ops→client messaging surface — no ops-side client messaging workspace,OPS_ACTION,WORKSPACE in control-panel/support/ (ops↔client-messaging-workspace),Ops needs to send messages to clients during order issues; no ops surface exists for this,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot communicate with client proactively,dsh,none,client,Loop 4 skeleton created as OpsClientMessagingWorkspace.tsx (tracked as ML-050); status corrected in Loop 6A integrity fix
ML-033,ops-messaging,control-panel,ops,Ops→partner messaging surface — no ops-side partner messaging workspace,OPS_ACTION,WORKSPACE in control-panel/support/ (ops↔partner-messaging-workspace),Ops needs to message partners during order issues; no ops surface exists; only app-partner-side panel exists,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot contact partner during SLA breach or exception,dsh,none,partner,Loop 4 skeleton created as OpsPartnerMessagingWorkspace.tsx (tracked as ML-051); status corrected in Loop 6A integrity fix
ML-034,ops-messaging,control-panel,ops,Ops→captain messaging surface — no ops-side captain messaging workspace,OPS_ACTION,WORKSPACE in control-panel/support/ (ops↔captain-messaging-workspace),Ops needs to message captains during reassignment or exception; no ops surface exists,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot contact captain during escalation or dropout scenario,dsh,none,captain,Loop 4 skeleton created as OpsCaptainMessagingWorkspace.tsx (tracked as ML-052); status corrected in Loop 6A integrity fix
ML-035,ops-audit,control-panel,ops,Audit trail detail workspace — AuditSupportSlaScreen exists but no detail/drill-down workspace,WORKSPACE,WORKSPACE linked from AuditSupportSlaScreen (audit-trail-detail-workspace),AuditSupportSlaScreen shows aggregate SLA data but ops cannot drill down to individual order audit trail,P1,audit API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot review order-level audit evidence for exception closure,dsh,none,none,Loop 4 skeleton: AuditTrailDetailWorkspace.tsx accessible from AuditSupportSlaScreen
ML-036,ops-assignment,control-panel,ops,Auto-assignment config surface — DispatchAssignmentScreen covers manual; auto-config toggle is PARTIAL,OPS_ACTION,SECTION within DispatchAssignmentScreen.tsx (auto-assignment-config-section),Auto-assign toggle referenced in DispatchAssignmentScreen but no dedicated config panel with rules/thresholds exists,P1,auto-assignment API,OWNER_DECISION_REQUIRED,P1 — ops cannot configure auto-assignment rules; default behavior cannot be changed,dsh,none,none,OWNER_DECISION_REQUIRED: auto-assign config section placement within DispatchAssignmentScreen requires human owner decision on which config parameters to expose; API contract also not proven
ML-037,ops-assignment,control-panel,ops,Reassignment trigger explicit surface — reassignment is within ExceptionsEscalationsScreen but needs explicit trigger action,OPS_ACTION,OPS_ACTION within ExceptionsEscalationsScreen.tsx (reassign-captain action panel),Reassignment exists in exceptions screen but is mixed with other exception actions; needs explicit trigger surface,P1,reassignment API,OWNER_DECISION_REQUIRED,P1 — ops must navigate exceptions to find reassignment; slows response during SLA breach,dsh,none,captain,OWNER_DECISION_REQUIRED: reassign trigger panel placement within ExceptionsEscalationsScreen requires human owner decision on UX layout; reassignment API not proven
ML-038,ops-partner,control-panel,ops,Partner deactivation workspace — no deactivation or suspension surface exists in CP partners section,OPS_ACTION,OPS_ACTION WORKSPACE in control-panel/partners/ (partner-deactivation-workspace),Ops cannot deactivate or suspend a partner through DSH; no surface exists,P1,partner management API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops must use manual process to deactivate partners; no audit trail,dsh,none,partner,Cycle 6 wire: PartnerDeactivationWorkspace imported and wired as deactivation primary tab in ControlPanelDshPartnerApprovalsScreen
ML-039,ops-partner,control-panel,ops,Partner performance review workspace — no performance dashboard for individual partners,WORKSPACE,WORKSPACE in control-panel/partners/ (partner-performance-workspace),"Ops cannot review partner SLA scores, order completion rates, or rejection rates per partner",P2,partner analytics API,EXPLICITLY_DEFERRED_WITH_REASON,P2 — partner quality issues are not visible at operator level,dsh,none,partner,EXPLICITLY_DEFERRED: P2 priority; partner analytics API contract (CG-series) not proven; PartnerPerformanceWorkspace.tsx will be created in Loop 7 after API contract is proven
ML-040,ops-finance,control-panel,ops,Partner settlement WLT bridge workspace — MISSING in control-panel/finance/,WLT_BRIDGE,WORKSPACE in control-panel/finance/ (partner-settlement-workspace — WLT bridge read-only),Ops needs to view partner settlement status from WLT; FinanceHubScreen exists but no sub-workspace for settlement,P0,WLT settlement bridge API (CG-033),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — ops cannot see partner settlement without this WLT bridge,dsh,WLT-owned,wlt,Cycle 5 wire: PartnerSettlementBridgePanel adapter in FinanceHubScreen.tsx SCREEN_RENDERERS — settlements group; WLT read-only
ML-041,ops-finance,control-panel,ops,Captain payout WLT bridge workspace — MISSING in control-panel/finance/,WLT_BRIDGE,WORKSPACE in control-panel/finance/ (captain-payout-workspace — WLT bridge read-only),Ops cannot view captain payout status from WLT; no sub-workspace exists,P0,WLT payout bridge API (CG-034),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — ops cannot see captain payout without this WLT bridge,dsh,WLT-owned,wlt,Cycle 5 wire: CaptainPayoutBridgePanel adapter in FinanceHubScreen.tsx — captain-eligibility group; WLT read-only
ML-042,ops-finance,control-panel,ops,Refund management queue — MISSING in control-panel/finance/,WLT_BRIDGE,WORKSPACE in control-panel/finance/ (refund-queue-workspace — WLT bridge read-only),Ops cannot classify refund candidates or view WLT refund queue; entirely missing,P0,WLT refund bridge API (CG-035),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — ops cannot manage refunds; client complaints have no financial resolution path in DSH,dsh,WLT-owned,wlt,Cycle 5 wire: RefundQueueBridgePanel adapter in FinanceHubScreen.tsx — refunds group; WLT read-only
ML-043,ops-finance,control-panel,ops,Commission breakdown workspace — MISSING in control-panel/finance/,WLT_BRIDGE,WORKSPACE in control-panel/finance/ (commission-breakdown-workspace — WLT bridge read-only),Ops cannot view commission details per order or per captain/field agent,P1,WLT commission bridge API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — commission disputes cannot be resolved without this view,dsh,WLT-owned,wlt,Cycle 5 wire: CommissionBreakdownBridgePanel adapter in FinanceHubScreen.tsx — cod-reconciliation group; WLT read-only
ML-044,ops-finance,control-panel,ops,Platform fee audit workspace — MISSING in control-panel/finance/,WLT_BRIDGE,WORKSPACE in control-panel/finance/ (platform-fee-audit-workspace — WLT bridge read-only),Ops cannot audit platform fee per order; entirely missing from DSH finance section,P1,WLT fee bridge API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — platform fee accuracy cannot be verified by ops,dsh,WLT-owned,wlt,Cycle 5 wire: PlatformFeeAuditBridgePanel adapter in FinanceHubScreen.tsx — risk-audit group; WLT read-only
ML-045,ops-finance,control-panel,ops,Field commission workspace — MISSING in control-panel/finance/,WLT_BRIDGE,WORKSPACE in control-panel/finance/ (field-commission-workspace — WLT bridge read-only),Ops cannot view field agent commission from WLT; no sub-workspace for field finance in CP,P1,WLT field commission bridge API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — field commission disputes cannot be resolved without this view,dsh,WLT-owned,wlt,Cycle 5 wire: FieldCommissionBridgePanel adapter in FinanceHubScreen.tsx — ledger group; WLT read-only
ML-046,ops-support,control-panel,ops,Support ticket list — zero support screens in control-panel/support/; entire section is MISSING,SCREEN,SCREEN in control-panel/support/ (SupportHubScreen.tsx or SupportTicketListScreen.tsx),CP support section has only closure-workspaces.tsx and index.ts; no screens; ops cannot see any support ticket,P0,support ticket API (CG-032),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — operator support queue is completely dark; complaints have no resolution path,dsh,none,client,Cycle 4 wire: SupportEscalationQueueScreen wired as escalation tab in SupportHubScreens; hub is main entry point
ML-047,ops-support,control-panel,ops,Support ticket detail/response workspace — MISSING in control-panel/support/,WORKSPACE,WORKSPACE in control-panel/support/ (SupportTicketDetailWorkspace.tsx),Ops cannot open a support ticket detail or respond to client/partner/captain complaints,P0,support ticket API (CG-032),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — ops cannot respond to or close any support case,dsh,none,client,Cycle 4 wire: SupportTicketDetailWorkspace wired as inspector panel on escalation tab in SupportHubScreens
ML-048,ops-support,control-panel,ops,SLA dashboard — MISSING in control-panel/support/,SCREEN,SCREEN in control-panel/support/ (SupportSlaDashboardScreen.tsx),AuditSupportSlaScreen exists in operations section but ops needs a support-specific SLA view under support section,P1,SLA metrics API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — support SLA is not monitored from support section; ops must navigate to operations section,dsh,none,none,Cycle 4 wire: SupportSlaDashboardScreen wired as sla-risk tab renderer in SupportHubScreens
ML-049,ops-support,control-panel,ops,Escalation queue — MISSING in control-panel/support/,SCREEN,SCREEN in control-panel/support/ (SupportEscalationQueueScreen.tsx),Escalated issues from all actors (client/partner/captain/field) have no dedicated ops queue in the support section,P0,escalation API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P0 — escalations from any actor go nowhere in CP; DshFieldReadinessEscalationScreen escalations have no ops inbox,dsh,none,field,Cycle 4 wire: SupportEscalationQueueScreen wired as escalation tab in SupportHubScreens; queue + ticket detail inspector
ML-050,ops-support,control-panel,ops,Ops↔client messaging workspace — MISSING in control-panel/support/,WORKSPACE,WORKSPACE in control-panel/support/ (OpsClientMessagingWorkspace.tsx),Ops cannot send or receive messages with clients from CP; client-side workspace exists but ops-side is dark,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot communicate with client during active order issue,dsh,none,client,Cycle 4 wire: OpsClientMessagingWorkspace wired as default (client) sub-tab in messaging tab of SupportHubScreens
ML-051,ops-support,control-panel,ops,Ops↔partner messaging workspace — MISSING in control-panel/support/,WORKSPACE,WORKSPACE in control-panel/support/ (OpsPartnerMessagingWorkspace.tsx),Ops cannot message partners from CP; PartnerOrderConversationPanel exists on app-partner side but ops-side is dark,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot contact partner during exception or SLA breach,dsh,none,partner,Cycle 4 wire: OpsPartnerMessagingWorkspace wired as partner sub-tab in messaging tab of SupportHubScreens
ML-052,ops-support,control-panel,ops,Ops↔captain messaging workspace — MISSING in control-panel/support/,WORKSPACE,WORKSPACE in control-panel/support/ (OpsCaptainMessagingWorkspace.tsx),Ops cannot message captains from CP; captain support-screen exists on app-captain side but ops-side is dark,P1,messaging API (CG-030 CG-031),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — ops cannot communicate with captain during exception or dropout,dsh,none,captain,Cycle 4 wire: OpsCaptainMessagingWorkspace wired as captain sub-tab in messaging tab of SupportHubScreens
ML-053,ops-catalogs,control-panel,ops,Item approval workflow — no item-level approval flow in ControlPanelDshCatalogScreen,OPS_ACTION,OPS_ACTION SECTION within ControlPanelDshCatalogScreen.tsx or ControlPanelDshCatalogCategoriesScreen.tsx (item-approval-section),Partner submits catalog items but ops has no item-level approval flow; CatalogAdoptionQueue exists at category level only,P1,catalog approval API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — partner catalog items may go live without ops review,dsh,none,partner,V6 skeleton: ItemApprovalSection.tsx created in control-panel/catalogs/ and exported from catalogs/index.ts; BLOCKED_BY_CONTRACT (catalog approval API not proven)
ML-054,ops-catalogs,control-panel,ops,Catalog publishing gate — no publishing-gate workspace before catalog goes live,OPS_ACTION,OPS_ACTION SECTION or WORKSPACE in control-panel/catalogs/ (catalog-publishing-gate),Catalogs can be published without an explicit ops gate check; quality and compliance cannot be enforced,P1,catalog publish API,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,P1 — catalog quality issues go undetected before publish,dsh,none,partner,V6 skeleton: CatalogPublishingGateSection.tsx created in control-panel/catalogs/ and exported from catalogs/index.ts; BLOCKED_BY_CONTRACT (catalog publish API not proven)
