gap_id,file,surface,module_index_export,rendered_by_surface,blocker,classification_v7,v7_change,notes
ML-018,app-partner/screens/OrdersInboxScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders when route==='inbox',CG-023,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Confirmed wired from V6
ML-019,app-partner/screens/OrdersInboxScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders when route==='inbox',CG-023,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Same file as ML-018
ML-020,app-partner/screens/OrdersInboxScreen.tsx,app-partner,YES (app-partner index),YES — DshPartnerSurface renders when route==='inbox',CG-023,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Same file as ML-018
ML-024,app-captain/sheets/OfferDeclineSheet.tsx,app-captain,YES (sheets/index.ts),NO — DshCaptainSurface does not mount this sheet,CG-015 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Requires surface sheet mounting + API
ML-025,app-captain/screens/DshCaptainMapScreen.tsx,app-captain,YES (app-captain index),YES — DshCaptainSurface renders when route==='map',none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added renderCaptainFlow() branch; added renderRouteHeader() case; navigable from خريطة المهمة button in expanded home order panel"
ML-026,app-captain/DshCaptainSurface.tsx,app-captain,YES (app-captain index),YES — DshCaptainSurface is itself the surface host,CG-019 not proven,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NO CHANGE,Availability toggle skeleton wired from V6
ML-029,app-captain/screens/DshCaptainPickupDropoffScreen.tsx,app-captain,YES (app-captain index),YES — DshCaptainSurface renders when route==='pickup-dropoff',none,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added renderCaptainFlow() branch; navigable from مرحلة الاستلام والتسليم button in detail route; onConfirm navigates to pod-submission"
ML-031,app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,app-captain,YES (app-captain index),YES — DshCaptainSurface renders when route==='pod-submission',CG-018,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added renderCaptainFlow() branch; navigable from DshCaptainPickupDropoffScreen onConfirm; confirm button disabled (no photoUri)"
ML-032,control-panel/support/OpsClientMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-033,control-panel/support/OpsPartnerMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-034,control-panel/support/OpsCaptainMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-035,control-panel/operations/AuditTrailDetailWorkspace.tsx,control-panel,YES (operations/index.ts),YES — AuditSupportSlaScreen renders as toggle panel when detailOrderId is set,audit detail API not proven,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added import; added detailOrderId toggle state; secondaryAction on each DecisionRow opens workspace; onClose resets state; 340px inspector panel"
ML-038,control-panel/partners/PartnerDeactivationWorkspace.tsx,control-panel,YES (partners/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,partner management API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-040,control-panel/finance/PartnerSettlementWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,WLT CG-033 not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,NO CHANGE,WLT-owned; surface not mounted
ML-041,control-panel/finance/CaptainPayoutWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,WLT CG-034 not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,NO CHANGE,WLT-owned; surface not mounted
ML-042,control-panel/finance/RefundQueueWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,WLT CG-035 not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,NO CHANGE,WLT-owned; surface not mounted
ML-043,control-panel/finance/CommissionBreakdownWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,WLT commission bridge not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,NO CHANGE,WLT-owned; surface not mounted
ML-044,control-panel/finance/PlatformFeeAuditWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,WLT fee bridge not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,NO CHANGE,WLT-owned; surface not mounted
ML-045,control-panel/finance/FieldCommissionWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,WLT field commission bridge not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,NO CHANGE,WLT-owned; surface not mounted
ML-046,control-panel/support/SupportTicketListScreen.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-032 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-047,control-panel/support/SupportTicketDetailWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-032 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-048,control-panel/support/SupportSlaDashboardScreen.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,SLA metrics API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-049,control-panel/support/SupportEscalationQueueScreen.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-032 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Surface not mounted
ML-050,control-panel/support/OpsClientMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Duplicate of ML-032
ML-051,control-panel/support/OpsPartnerMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Duplicate of ML-033
ML-052,control-panel/support/OpsCaptainMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts operations,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NO CHANGE,Duplicate of ML-034
ML-053,control-panel/catalogs/ItemApprovalSection.tsx,control-panel,YES (catalogs/index.ts),YES — ControlPanelDshCatalogScreen renders in approvals/quality sub-tab,catalog item approval API not proven,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added import; renders when activeTab==='approvals' && activeSubTab==='quality'; demo items render; action callbacks optional"
ML-054,control-panel/catalogs/CatalogPublishingGateSection.tsx,control-panel,YES (catalogs/index.ts),YES — ControlPanelDshCatalogScreen renders in approvals/pricing sub-tab,catalog publish API not proven,WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,NEWLY WIRED IN V7,"Added import; renders when activeTab==='approvals' && activeSubTab==='pricing'; demo record renders; approve button disabled"
