gap_id,file,surface,module_index_export,rendered_by_surface,blocker,classification,v6_correction,notes
ML-033,control-panel/support/OpsPartnerMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: same as ML-032,Workspace exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
ML-034,control-panel/support/OpsCaptainMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: same as ML-032,Workspace exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
ML-035,control-panel/operations/AuditTrailDetailWorkspace.tsx,control-panel,YES (operations/index.ts line 49 — added in V6),NO — AuditSupportSlaScreen does not import AuditTrailDetailWorkspace,audit detail API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,FALSE CLAIM IN V6: gate said ML-035 ORPHAN_SKELETON resolved via operations/index.ts export; truth is AuditSupportSlaScreen still does not import AuditTrailDetailWorkspace,"Exported from operations/index.ts (line 49); AuditSupportSlaScreen imports only WebControlPanelKpiStrip and WebControlPanelDecisionRow; no AuditTrailDetailWorkspace import present"
ML-038,control-panel/partners/PartnerDeactivationWorkspace.tsx,control-panel,YES (partners/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,partner management API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_CONTRACT; classification value updated to match V6.1 scheme,Workspace exported from partners/index.ts; DshControlPanelSurfaceHost does not mount partners screens
ML-040,control-panel/finance/PartnerSettlementWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,WLT CG-033 not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_WLT; classification value updated to match V6.1 scheme,WLT bridge skeleton; DshControlPanelSurfaceHost does not mount finance screens
ML-041,control-panel/finance/CaptainPayoutWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,WLT CG-034 not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,ALIGNED: same as ML-040,WLT bridge skeleton; DshControlPanelSurfaceHost does not mount finance screens
ML-042,control-panel/finance/RefundQueueWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,WLT CG-035 not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,ALIGNED: same as ML-040,WLT bridge skeleton; DshControlPanelSurfaceHost does not mount finance screens
ML-043,control-panel/finance/CommissionBreakdownWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,WLT commission bridge not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,ALIGNED: same as ML-040,WLT bridge skeleton; DshControlPanelSurfaceHost does not mount finance screens
ML-044,control-panel/finance/PlatformFeeAuditWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,WLT fee bridge not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,ALIGNED: same as ML-040,WLT bridge skeleton; DshControlPanelSurfaceHost does not mount finance screens
ML-045,control-panel/finance/FieldCommissionWorkspace.tsx,control-panel,YES (finance/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,WLT field commission bridge not proven,EXPORTED_ONLY_BLOCKED_BY_WLT,ALIGNED: same as ML-040,WLT bridge skeleton; DshControlPanelSurfaceHost does not mount finance screens
ML-046,control-panel/support/SupportTicketListScreen.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-032 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: was EXPORTED_NOT_MOUNTED_BLOCKED_BY_CONTRACT; classification value updated to match V6.1 scheme,Skeleton exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
ML-047,control-panel/support/SupportTicketDetailWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-032 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: same as ML-046,Skeleton exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
ML-048,control-panel/support/SupportSlaDashboardScreen.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,SLA metrics API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: same as ML-046,Skeleton exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
ML-049,control-panel/support/SupportEscalationQueueScreen.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-032 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,ALIGNED: same as ML-046,Skeleton exported from support/index.ts; DshControlPanelSurfaceHost does not mount support screens
ML-050,control-panel/support/OpsClientMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,DUPLICATE OF ML-032: same file same classification,Same file as ML-032; duplicate gap entry in old matrix retained for traceability
ML-051,control-panel/support/OpsPartnerMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,DUPLICATE OF ML-033: same file same classification,Same file as ML-033; duplicate gap entry in old matrix retained for traceability
ML-052,control-panel/support/OpsCaptainMessagingWorkspace.tsx,control-panel,YES (support/index.ts),NO — DshControlPanelSurfaceHost only mounts ControlPanelDshOperationsScreen,CG-030/CG-031 not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,DUPLICATE OF ML-034: same file same classification,Same file as ML-034; duplicate gap entry in old matrix retained for traceability
ML-053,control-panel/catalogs/ItemApprovalSection.tsx,control-panel,YES (catalogs/index.ts line 14 — added in V6),NO — ControlPanelDshCatalogScreen does not import ItemApprovalSection,catalog item approval API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NEW IN V6.1: not in old V6 skeleton matrix; V6 added export to catalogs/index.ts but parent screen does not import it,"Exported from catalogs/index.ts (line 14); ControlPanelDshCatalogScreen imports CatalogAdoptionQueue but not ItemApprovalSection"
ML-054,control-panel/catalogs/CatalogPublishingGateSection.tsx,control-panel,YES (catalogs/index.ts line 18 — added in V6),NO — ControlPanelDshCatalogScreen does not import CatalogPublishingGateSection,catalog publishing gate API not proven,EXPORTED_ONLY_BLOCKED_BY_CONTRACT,NEW IN V6.1: not in old V6 skeleton matrix; V6 added export to catalogs/index.ts but parent screen does not import it,"Exported from catalogs/index.ts (line 18); ControlPanelDshCatalogScreen does not import CatalogPublishingGateSection"
