lifecycle_id,stage,actor,counterpart,point_type,description,ui_placement,existing_file_or_tbd,screen_or_not,reason,click_depth_impact,owner_service,finance_owner,status,risk_if_missing,notes
LC-CLIENT-08,checkout,client,,SCREEN,Checkout intent — serviceability request and delivery preference,FLOW_STEP on app-client,DshCheckoutIntentScreen.tsx,YES,Checkout initiation with zone/address confirmation — must be separate screen; cannot be sheet as it triggers serviceability check,4,dsh,WLT (intent),COVERED,P0 READY_FOR_REVIEW,
LC-CLIENT-09,checkout,client,,STATE,Serviceability quote — quote result displayed within checkout intent,STATE within DshCheckoutIntentScreen.tsx,DshCheckoutIntentScreen.tsx,NO,Quote result is a loading→success/error state on checkout intent screen — does not justify separate route,4,dsh,WLT (fee display),COVERED,LOW,
LC-CLIENT-10,checkout,client,WLT,WLT_BRIDGE,WLT payment handoff — payment method selection and execution,WLT_BRIDGE owned by WLT,WLT-owned — no DSH file,NO,Payment is WLT's domain entirely — DSH passes intent and receives result; no DSH UI required,4,WLT,WLT,COVERED (boundary),P0 — without WLT bridge checkout cannot complete,
LC-CLIENT-11,order_created_preview,client,,STATE,Order created confirmation — client sees order accepted state post-WLT,STATE — MISSING (TBD),TBD,NO,Post-WLT confirmation is a state within order tracking or a brief confirmation state — candidate for STATE on OrdersTrackingScreens or new SCREEN,4,dsh,none,MISSING,P0 — client has no feedback after WLT handoff without this,Loop 4 target: add order-created confirmation state to OrdersTrackingScreens or DshCheckoutIntentScreen success state
LC-CLIENT-12,tracking,client,,SCREEN,Orders history list — full list of past and active orders,SCREEN_ENTRY on app-client,OrdersTrackingScreens.tsx,YES,Order history requires dedicated screen with list + filtering; cannot be section,2,dsh,none,COVERED,P0 deepLink=/dsh/orders,
LC-CLIENT-13,tracking,client,captain,SCREEN,Live order tracking — real-time map with captain location and status,FLOW_STEP on app-client,OrdersTrackingScreens.tsx,YES,Live map + status stream requires dedicated screen with location permission,3,dsh,none,COVERED,P0 deepLink=/dsh/orders/:orderId/tracking,
LC-CLIENT-14,tracking,client,,SHEET,Bell notification modal — active order alerts accessible from tracking,MODAL on app-client,BellScreen.tsx,NO,Quick alert modal — does not justify full screen; modal/sheet pattern is correct,3,dsh,none,COVERED,P2,
LC-CLIENT-15,tracking,client,,SCREEN,Notifications list — full notification center,SCREEN_ENTRY on app-client,NotificationsScreen.tsx,YES,Full list with history — needs dedicated screen; requires notifications permission,2,dsh,none,COVERED,P1,
LC-CLIENT-16,support,client,captain,SCREEN,Client↔Captain messaging — live chat during active order,FLOW_STEP on app-client,OperationScreens.tsx (dsh-conversation-workspace),YES,Live messaging requires persistent screen; cannot be sheet as message history must be preserved,4,dsh,none,COVERED,P1,Captain-side: DshCaptainOrdersScreen (chat)
LC-CLIENT-17,support,client,operator,SCREEN,Client↔Support/Ops messaging — report or resolve order issue with support,FLOW_STEP on app-client,OperationScreens.tsx (dsh-conversation-workspace),YES,Same screen as captain chat with different context/recipient — needs state differentiation,4,dsh,none,PARTIAL,P1 — without clear ops-recipient state client cannot reach support,Ops-side: MISSING (LC-OPS-15)
LC-CLIENT-18,support,client,,SCREEN,Order issue workspace — client reports and tracks order issue,FLOW_STEP on app-client,OperationScreens.tsx (dsh-order-issue-workspace),YES,Issue reporting with multi-step context needs dedicated screen; cannot be sheet,4,dsh,none,COVERED,P1,
LC-CLIENT-19,rating,client,,SCREEN,Post-delivery rating — captain and experience rating,FLOW_STEP on app-client,DshRatingScreen.tsx,YES,Rating form with context — dedicated screen; sheet candidate to reduce click depth,4,dsh,none,COVERED,P2 READY_FOR_REVIEW,Consider converting to sheet in Loop 3
LC-CLIENT-20,support,client,,TBD,Order cancellation — client cancels active order,TBD — MISSING,TBD,TBD,Cancellation is a flow step that may require reason capture and WLT reversal notification,4,dsh,WLT (reversal),MISSING,P1 — no cancellation path for client,Loop 4 skeleton target: cancellation flow step or sheet
LC-CLIENT-21,support,client,WLT,WLT_BRIDGE,Refund status view — client sees refund state after cancellation or exception,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge view for refund status — read-only display; DSH shows status only,4,WLT,WLT,MISSING,P1 — client has no refund visibility,Loop 4 target: WLT bridge refund status STATE or SCREEN
LC-PARTNER-01,partner-intake,partner,,SCREEN,Partner entry/gate — activation status and service gate,SCREEN_ENTRY on app-partner,PartnerEntryScreen.tsx,YES,Gate with blocked state must be dedicated screen — may prevent rest of app render,0,dsh,none,COVERED,P0,
LC-PARTNER-02,partner-intake,partner,,SCREEN,Orders inbox — incoming order queue,SCREEN_ENTRY on app-partner,OrdersInboxScreen.tsx,YES,Full order list with real-time updates — dedicated screen required,1,dsh,none,COVERED,P0,
LC-PARTNER-03,partner-intake,partner,,SCREEN,Order detail — full order view for action,SCREEN_ENTRY on app-partner,OrdersInboxScreen.tsx,YES,Order detail with all action CTAs — dedicated screen required,2,dsh,none,COVERED,P0,
LC-PARTNER-04,partner_accept,partner,,STATE,Accept order CTA and state,STATE + CTA within OrdersInboxScreen.tsx,OrdersInboxScreen.tsx,NO,Accept is a CTA action within order detail — not a separate route; confirmation may be inline,2,dsh,none,COVERED,P0 — without accept CTA partner cannot proceed,
LC-PARTNER-05,partner_accept,partner,,SHEET,Acceptance timer / countdown before offer expires,SHEET — MISSING,TBD,NO,Timer is a sheet or overlay within inbox — not a full screen; shows countdown and prompts accept/reject,2,dsh,none,MISSING,P0 — without timer partner cannot see offer expiry,Loop 4 skeleton target: acceptance timer sheet within OrdersInboxScreen
LC-PARTNER-06,partner_reject,partner,,SCREEN,Order rejection with reason,FLOW_STEP on app-partner,DshPartnerOrderRejectionScreen.tsx,YES,Rejection with mandatory reason capture — dedicated screen; cannot be sheet as it may trigger support exception,2,dsh,WLT (reversal if needed),COVERED,P0 READY_FOR_REVIEW,
LC-PARTNER-07,partner_prepare,partner,,STATE,Order preparation start state — partner begins prep,STATE within OrdersInboxScreen.tsx,OrdersInboxScreen.tsx,NO,Prep start is a state transition in order detail — CTA exists; preparation view is same screen,2,dsh,none,PARTIAL,HIGH — partner needs clear prep-start and progress states,Needs explicit preparation states in Loop 4
LC-PARTNER-08,partner_prepare,partner,,STATE,Order preparation progress — in-progress and delay states,STATE within OrdersInboxScreen.tsx,OrdersInboxScreen.tsx,NO,Same reasoning — state within order detail,2,dsh,none,PARTIAL,HIGH,
LC-PARTNER-09,partner_ready,partner,,STATE,Partner ready — marks order ready for captain pickup,STATE + CTA within OrdersInboxScreen.tsx,OrdersInboxScreen.tsx,NO,Ready mark is a CTA/state transition — not a separate screen,2,dsh,none,PARTIAL,P0 — critical handoff state,
LC-PARTNER-10,partner_ready,partner,,EVENT,Handoff to captain — system event visible as state change,EVENT visible as STATE in OrdersInboxScreen.tsx,OrdersInboxScreen.tsx,NO,System event surfaces as a state in order detail — not a separate screen,3,dsh,none,PARTIAL,P0 — without visible handoff state partner is confused,Needs explicit captain-assigned state display
LC-PARTNER-11,support,partner,operator,SECTION,Partner↔Ops messaging — conversation within order detail,SECTION within OrdersInboxScreen.tsx,PartnerOrderConversationPanel.tsx,NO,Messaging panel is a section within order detail — correct placement,3,dsh,none,COVERED,P1,Ops-side MISSING (LC-OPS-16)
LC-PARTNER-12,partner-inventory,partner,,SCREEN,Inventory catalog management,SCREEN_ENTRY on app-partner,InventoryCatalogScreen.tsx,YES,Full catalog editor — dedicated screen,2,dsh,none,COVERED,P0,
LC-PARTNER-13,partner-profile,partner,,SCREEN,Store profile management,SCREEN_ENTRY on app-partner,StoreProfileScreen.tsx,YES,Store info editor — dedicated screen,2,dsh,none,COVERED,P1,
LC-PARTNER-14,partner-promotions,partner,,SCREEN,Promotions enrollment,SCREEN_ENTRY on app-partner,PromotionsScreen.tsx,YES,Promotions with eligibility check — dedicated screen,3,dsh,none,COVERED,P1,
LC-PARTNER-15,partner-support,partner,,SCREEN,Partner support center,SCREEN_ENTRY on app-partner,PartnerSupportScreen.tsx,YES,Support entry with multiple contact paths — dedicated screen,2,dsh,none,COVERED,P0,
LC-PARTNER-16,partner-finance,partner,WLT,WLT_BRIDGE,Partner wallet / finance bridge,FLOW_STEP on app-partner,WltDshPartnerBridge.tsx,YES,WLT bridge view must be separate screen — loads WLT wallet context,3,WLT,WLT,COVERED,P0,serviceId=wlt
LC-CAPTAIN-01,captain-entry,captain,,SCREEN,Captain entry/gate — availability and eligibility check,SCREEN_ENTRY on app-captain,DshCaptainEntryScreen.tsx,YES,Gate screen with blocked states — must be separate from orders inbox,0,dsh,none,COVERED,P1,
LC-CAPTAIN-02,captain_assignment,captain,,SCREEN,Orders inbox / offer queue — incoming delivery offers,SCREEN_ENTRY on app-captain,DshCaptainOrdersScreen.tsx,YES,Real-time offer queue — dedicated screen required; active offers need full screen attention,1,dsh,none,COVERED,P0,
LC-CAPTAIN-03,captain_accept,captain,,STATE,Offer accept CTA and state transition,STATE + CTA within DshCaptainOrdersScreen.tsx,DshCaptainOrdersScreen.tsx,NO,Accept is inline CTA within offer card — not a separate route,1,dsh,none,PARTIAL,P0 — critical revenue action; needs prominent state,Offer-accept confirmation sheet may be needed in Loop 4
LC-CAPTAIN-04,captain_accept,captain,,STATE,Offer decline and reason (if applicable),STATE within DshCaptainOrdersScreen.tsx,TBD,NO,Decline is an action within inbox — reason capture may be a sheet,1,dsh,none,MISSING,P1 — without decline flow captain has no opt-out,Loop 4 skeleton: decline reason sheet within DshCaptainOrdersScreen
LC-CAPTAIN-05,captain_accept,captain,,SCREEN,Order detail — assignment info and route starting point,FLOW_STEP on app-captain,DshCaptainOrdersScreen.tsx,YES,Full order context needed for navigation decision — dedicated screen,2,dsh,none,COVERED,P0,
LC-CAPTAIN-06,captain_accept,captain,client,SHEET,Captain↔Client chat — messaging during active order,SHEET on app-captain,DshCaptainOrdersScreen.tsx (dsh-captain-order-chat),NO,Chat panel is a sheet/overlay within order flow — correct; does not need full screen,3,dsh,none,COVERED,P1,Client-side: OperationScreens (conversation-workspace)
LC-CAPTAIN-07,captain_arrive_pickup,captain,,SCREEN,Map / navigation — route to pickup or dropoff,SCREEN — CRITICAL MISSING REGISTRATION,DshCaptainMapScreen.tsx (exists but unregistered),YES,Map with live navigation requires dedicated full screen — cannot be sheet; requires location permission,3,dsh,none,MISSING (unregistered),P0 — without registered map screen pickup flow is broken,GAP-001: register in dsh-captain.screen-registry.ts in Loop 4
LC-CAPTAIN-08,captain_arrive_pickup,captain,,SCREEN,Pickup/dropoff navigation steps — arrive→pickup→transit→dropoff,FLOW_STEP on app-captain,DshCaptainPickupDropoffScreen.tsx,YES,Step-based execution screen — dedicated screen required; each sub-step is a STATE within this screen,3,dsh,none,COVERED,P1 READY_FOR_REVIEW,
LC-CAPTAIN-09,captain_pickup,captain,,STATE,Pickup confirmation state — captain confirms item received,STATE within DshCaptainPickupDropoffScreen.tsx,DshCaptainPickupDropoffScreen.tsx,NO,Confirmation CTA within pickup screen — not a separate route,3,dsh,COD flag note (WLT),COVERED,P0,COD collection note only — money stays WLT-owned
LC-CAPTAIN-10,out_for_delivery,captain,,STATE,In-transit / out-for-delivery state,STATE within DshCaptainPickupDropoffScreen.tsx,DshCaptainPickupDropoffScreen.tsx,NO,Transit is a state transition — not a new screen,3,dsh,none,PARTIAL,P1 — needs explicit in-transit state representation,
LC-CAPTAIN-11,arrive_dropoff,captain,,STATE,Arrive at dropoff state,STATE within DshCaptainPickupDropoffScreen.tsx,DshCaptainPickupDropoffScreen.tsx,NO,Arrival is a state transition — not a new screen,3,dsh,none,COVERED,P0,
LC-CAPTAIN-12,proof_of_delivery,captain,,SCREEN,Proof of delivery submission — photo/signature capture,FLOW_STEP on app-captain,DshCaptainPoDSubmissionScreen.tsx,YES,PoD capture requires camera/media access and dedicated form — dedicated screen; cannot be sheet due to permission and data requirements,4,dsh,none,COVERED,P1 READY_FOR_REVIEW,
LC-CAPTAIN-13,captain-support,captain,operator,SCREEN,Captain support directory — contacts and help options,FLOW_STEP on app-captain,DshCaptainOperationsScreen.tsx,YES,Directory with multiple contact paths — dedicated screen,3,dsh,none,COVERED,P1,
LC-CAPTAIN-14,captain-support,captain,operator,SCREEN,Captain↔Ops support workspace — live support chat during order,FLOW_STEP on app-captain,DshCaptainSurface.tsx (dsh-captain-support-screen),YES,Persistent messaging workspace — dedicated screen; cannot be sheet as session must be persistent,4,dsh,none,COVERED,P1 — lives in god-file; split needed in Loop 4,
LC-CAPTAIN-15,captain-account,captain,,SCREEN,Captain finance (WLT bridge) — COD balance and payout overview,FLOW_STEP on app-captain,DshCaptainFinanceScreen.tsx,YES,WLT bridge with finance context — dedicated screen,3,wlt.dsh,WLT,COVERED,P2 — linked to WltDshCaptainBridge.tsx,
LC-CAPTAIN-16,captain-account,captain,,STATE,Captain availability toggle — online/offline,STATE — MISSING,TBD,NO,Availability toggle is a persistent state widget — should live on home or entry screen; not a separate route,1,dsh,none,MISSING,P1 — without online/offline toggle captain cannot control availability,Loop 4 skeleton: availability toggle STATE on DshCaptainEntryScreen or home
LC-OPS-01,operations-monitoring,operator,,SCREEN,Operations hub — primary ops workspace entry,CONTROL_PANEL_SECTION,OperationsHubScreen.tsx,YES,Hub workspace with section navigation — dedicated screen,0,dsh,none,COVERED,,
LC-OPS-02,operations-monitoring,operator,,SCREEN,Command center — live order overview,CONTROL_PANEL_SECTION,CommandCenterScreen.tsx,YES,Real-time order monitoring — dedicated screen,1,dsh,none,COVERED,,
LC-OPS-03,operations-monitoring,operator,,SCREEN,Live orders monitoring — live order list,CONTROL_PANEL_SECTION,LiveOrdersScreen.tsx,YES,High-density order list — dedicated screen,1,dsh,none,COVERED,,
LC-OPS-04,operations-intervention,operator,,SCREEN,Dispatch assignment — manual and auto assignment,CONTROL_PANEL_SECTION,DispatchAssignmentScreen.tsx,YES,Assignment interface with manual controls — dedicated screen,2,dsh,none,COVERED,,Auto-assignment config is PARTIAL
LC-OPS-05,operations-intervention,operator,,OPS_ACTION,Auto-assignment configuration,OPS_ACTION within DispatchAssignmentScreen.tsx,DispatchAssignmentScreen.tsx,NO,Config toggle/setting within dispatch screen — not a separate route,2,dsh,none,PARTIAL,MEDIUM — auto-assign config must be explicit,
LC-OPS-06,operations-intervention,operator,,OPS_ACTION,Reassignment trigger — manually reassign captain,OPS_ACTION within ExceptionsEscalationsScreen.tsx,ExceptionsEscalationsScreen.tsx,NO,Reassignment is an action within exceptions screen — not a separate route,3,dsh,none,PARTIAL,P0 — without explicit reassignment action ops cannot intervene,Needs explicit reassign CTA in Loop 4
LC-OPS-07,operations-intervention,operator,,SCREEN,Exceptions and escalations — exception handling workspace,CONTROL_PANEL_SECTION,ExceptionsEscalationsScreen.tsx,YES,Full exception case management — dedicated screen,2,dsh,WLT (if refund path),COVERED,,
LC-OPS-08,operations-monitoring,operator,,SCREEN,Captain operations view — captain-focused ops dashboard,CONTROL_PANEL_SECTION,CaptainOperationsScreen.tsx,YES,Captain monitoring — dedicated screen,2,dsh,none,COVERED,,
LC-OPS-09,operations-monitoring,operator,,SCREEN,Partner stores view — partner operational overview,CONTROL_PANEL_SECTION,PartnerStoresScreen.tsx,YES,Partner monitoring — dedicated screen,2,dsh,none,COVERED,,
LC-OPS-10,operations-monitoring,operator,,SCREEN,Area capacity — delivery zone capacity monitoring,CONTROL_PANEL_SECTION,AreaCapacityScreen.tsx,YES,Zone capacity visualization — dedicated screen,2,dsh,none,COVERED,,
LC-OPS-11,operations-monitoring,operator,,SCREEN,Geo heatmap — order density geographical visualization,CONTROL_PANEL_SECTION,GeoHeatmapScreen.tsx,YES,Map-based visualization — dedicated screen,2,dsh,none,COVERED,,
LC-OPS-12,operations-monitoring,operator,,SCREEN,Audit / SLA monitoring,CONTROL_PANEL_SECTION,AuditSupportSlaScreen.tsx,YES,Audit and SLA tracking — dedicated screen,2,dsh,none,COVERED,,
LC-OPS-13,operations-monitoring,operator,client,OPS_ACTION,Ops→client messaging — ops sends message to client about order,OPS_ACTION — MISSING,TBD,NO,Messaging action within order view — section/panel within relevant ops screen,3,dsh,none,MISSING,P1 — ops cannot message client without this,Loop 4 skeleton: ops messaging section in CP operations or support
LC-OPS-14,operations-monitoring,operator,partner,OPS_ACTION,Ops→partner messaging — ops sends message to partner,OPS_ACTION — MISSING,TBD,NO,Panel within relevant ops screen — same pattern as partner↔ops,3,dsh,none,MISSING,P1,
LC-OPS-15,operations-monitoring,operator,captain,OPS_ACTION,Ops→captain messaging — ops sends message to captain,OPS_ACTION — MISSING,TBD,NO,Panel within ops screen — symmetric with captain↔ops,3,dsh,none,MISSING,P1,
LC-OPS-16,control_panel_audit,operator,,WORKSPACE,Audit trail detail workspace — full intervention record review,WORKSPACE — MISSING,TBD,NO,Detail workspace within AuditSupportSlaScreen — not a separate top-level screen,3,dsh,none,MISSING,P1 — without audit trail ops cannot prove interventions,Loop 4 skeleton
LC-SP-01,support,operator,client,SCREEN,Support ticket list — all client/partner/captain support cases,CONTROL_PANEL_SECTION — MISSING,TBD,YES,Full ticket list with filtering requires dedicated screen — cannot be section of ops screen,1,dsh,none,MISSING,P0 — entire support CP section missing,Loop 4 skeleton — highest priority missing screen
LC-SP-02,support,operator,,WORKSPACE,Support ticket detail and response workspace,WORKSPACE — MISSING,TBD,YES,Per-ticket workspace with conversation and action — dedicated screen/workspace,2,dsh,WLT (if refund),MISSING,P0,
LC-SP-03,support,operator,,SCREEN,SLA dashboard — support SLA monitoring,CONTROL_PANEL_SECTION — MISSING,TBD,YES,Dedicated SLA monitoring — cannot be section of audit screen,2,dsh,none,MISSING,P1,
LC-SP-04,support,operator,,SCREEN,Escalation queue — active escalations from all surfaces,CONTROL_PANEL_SECTION — MISSING,TBD,YES,Real-time escalation list — dedicated screen,2,dsh,none,MISSING,P1,
LC-SP-05,support,operator,client,WORKSPACE,Ops↔client messaging workspace — ops side of client chat,WORKSPACE — MISSING,TBD,NO,Messaging panel within ticket detail — not a new top-level screen; section within SP-02,3,dsh,none,MISSING,P1,
LC-SP-06,support,operator,partner,WORKSPACE,Ops↔partner messaging workspace — ops side of partner conversation,WORKSPACE — MISSING,TBD,NO,Section within ticket detail,3,dsh,none,MISSING,P1,
LC-SP-07,support,operator,captain,WORKSPACE,Ops↔captain messaging workspace — ops side of captain support,WORKSPACE — MISSING,TBD,NO,Section within ticket detail,3,dsh,none,MISSING,P1,
LC-FIN-01,finance-review,operator,,SCREEN,Finance hub — WLT bridge entry for all finance operations,CONTROL_PANEL_SECTION,FinanceHubScreen.tsx,YES,Hub entry screen for WLT finance — dedicated screen; all sub-workspaces are WLT bridges,1,wlt.dsh,WLT,COVERED,,DSH presents only — WLT owns all money
LC-FIN-02,finance-review,operator,partner,WLT_BRIDGE,Partner settlement workspace — partner payment and settlement detail,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge sub-workspace — section or workspace within FinanceHubScreen,2,WLT,WLT,MISSING,P0 — ops cannot see partner settlements,Loop 4 skeleton — WLT bridge section
LC-FIN-03,finance-review,operator,captain,WLT_BRIDGE,Captain payout workspace — captain earnings and payout detail,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge sub-workspace,2,WLT,WLT,MISSING,P0,
LC-FIN-04,finance-review,operator,,WLT_BRIDGE,Refund management queue — refund cases awaiting WLT processing,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge refund queue — section within FinanceHubScreen,2,WLT,WLT,MISSING,P0 — ops cannot manage refunds without this,
LC-FIN-05,finance-review,operator,,WLT_BRIDGE,Commission breakdown workspace — partner/captain/field commission detail,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge commission view,2,WLT,WLT,MISSING,P1,
LC-FIN-06,finance-review,operator,,WLT_BRIDGE,Platform fee audit — platform fee visibility,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge audit section,2,WLT,WLT,MISSING,P2,
LC-FIN-07,finance-review,operator,field,WLT_BRIDGE,Field commission workspace — field agent earnings,WLT_BRIDGE — MISSING,TBD,NO,WLT bridge field section,2,WLT,WLT,MISSING,P1,
LC-MKT-01,catalog-governance,operator,,SCREEN,Marketing hub — primary marketing workspace,CONTROL_PANEL_SECTION,ControlPanelDshMarketingScreen.tsx,YES,Hub with section navigation — dedicated screen,0,dsh,none,COVERED,,
LC-MKT-02,catalog-governance,operator,,SCREEN,Campaigns command deck,CONTROL_PANEL_SECTION,CampaignsCommandDeckScreen.tsx,YES,Campaigns management — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-03,catalog-governance,operator,,SCREEN,Loyalty command deck,CONTROL_PANEL_SECTION,LoyaltyCommandDeckScreen.tsx,YES,Loyalty program management — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-04,catalog-governance,operator,,SCREEN,Promotions command deck,CONTROL_PANEL_SECTION,PromosCommandDeckScreen.tsx,YES,Promos management — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-05,catalog-governance,operator,,SCREEN,Banners command deck,CONTROL_PANEL_SECTION,BannersCommandDeckScreen.tsx,YES,Banners management — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-06,catalog-governance,operator,,SCREEN,Videos command deck,CONTROL_PANEL_SECTION,VideosCommandDeckScreen.tsx,YES,Video content management — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-07,catalog-governance,operator,,SCREEN,Partner offers command deck,CONTROL_PANEL_SECTION,PartnerOffersCommandDeckScreen.tsx,YES,Partner offers management — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-08,catalog-governance,operator,,SCREEN,Media review command deck,CONTROL_PANEL_SECTION,MarketingMediaReviewCommandDeckScreen.tsx,YES,Media content review — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-09,catalog-governance,operator,,SCREEN,Growth command deck,CONTROL_PANEL_SECTION,GrowthCommandDeckScreen.tsx,YES,Growth signals — dedicated screen,1,dsh,none,COVERED,,
LC-MKT-10,catalog-governance,operator,,SCREEN,Smart signal layer,CONTROL_PANEL_SECTION,SmartSignalLayerScreen.tsx,YES,Smart targeting — dedicated screen,2,dsh,none,COVERED,,
LC-CAT-01,catalog-governance,operator,,SCREEN,Catalog hub,CONTROL_PANEL_SECTION,ControlPanelDshCatalogScreen.tsx,YES,Catalog management entry — dedicated screen,0,dsh,none,COVERED,,
LC-CAT-02,catalog-governance,operator,,SCREEN,Catalog categories,CONTROL_PANEL_SECTION,ControlPanelDshCatalogCategoriesScreen.tsx,YES,Category management — dedicated screen,1,dsh,none,COVERED,,
LC-CAT-03,catalog-governance,operator,,SECTION,Catalog adoption queue,SECTION within ControlPanelDshCatalogScreen.tsx,CatalogAdoptionQueue.tsx,NO,Queue panel is a section within catalog hub — correct,1,dsh,none,COVERED,,
LC-CAT-04,catalog-governance,operator,,OPS_ACTION,Catalog item approval workflow,OPS_ACTION — MISSING,TBD,NO,Item approval is an action/flow within catalog hub — not a new screen,2,dsh,none,MISSING,P1,Loop 4 skeleton
LC-PT-01,operations-monitoring,operator,partner,SCREEN,Partner approvals workspace,CONTROL_PANEL_SECTION,ControlPanelDshPartnerApprovalsScreen.tsx,YES,Partner approval management — dedicated screen,1,dsh,none,COVERED,,
