path,surface,current_folder,file_role,owner,imported_by,exported_by,registered_by,mounted_by,route_reference,used_status,dead_risk,noise_risk,recommended_action,action_taken,reason,notes
app-client/data/surface-catalog.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,DshClientSurface.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Surface catalog preview data,
app-client/data/surface-meta.preview-data.ts,app-client,data,FIXTURE_PREVIEW_DATA,dsh,DshClientSurface.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Surface meta preview data,
app-client/dsh-client.routes.ts,app-client,—,ROUTES,dsh,dsh-client.screen-registry.ts,app-client/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Client route ID type definitions,
app-client/dsh-client.screen-registry.ts,app-client,—,REGISTRY,dsh,DshClientSurface.tsx,app-client/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Client screen registry,
app-client/dsh-client.types.ts,app-client,—,TYPES,dsh,DshClientSurface.tsx,app-client/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Client type definitions,
app-client/index.ts,app-client,—,INDEX,app-client,external consumers,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Client module barrel export,
app-client/parts/ApprovedVideoReelsViewer.tsx,app-client,parts,SCREEN,dsh,—,app-client/index.ts,—,—,—,OWNER_DECISION_REQUIRED,LOW,MEDIUM,OWNER_DECISION,NONE,ML-014: placement decision pending; in parts/ not screens/,
app-client/parts/AwnakOrderCreateScreen.tsx,app-client,parts,SCREEN,dsh,—,app-client/index.ts,—,—,—,OWNER_DECISION_REQUIRED,LOW,MEDIUM,OWNER_DECISION,NONE,Awnak order create screen in parts/ — placement pending owner decision,
app-client/parts/CartDetails.tsx,app-client,parts,SHARED,dsh,CartScreen.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Cart details component used by CartScreen,
app-client/parts/LoyaltyRewardsScreen.tsx,app-client,parts,SCREEN,dsh,—,app-client/index.ts,—,—,—,OWNER_DECISION_REQUIRED,LOW,MEDIUM,OWNER_DECISION,NONE,ML-012: placement decision pending; in parts/ not screens/,
app-client/parts/OperationScreen.tsx,app-client,parts,SHARED,dsh,OperationScreens.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Operation screen shell used by OperationScreens,
app-client/parts/SheinOrderCreateScreen.tsx,app-client,parts,SCREEN,dsh,—,app-client/index.ts,—,—,—,OWNER_DECISION_REQUIRED,LOW,MEDIUM,OWNER_DECISION,NONE,Shein order create screen in parts/ — placement pending owner decision,
app-client/parts/SubscriptionsScreen.tsx,app-client,parts,SCREEN,dsh,—,app-client/index.ts,—,—,—,OWNER_DECISION_REQUIRED,LOW,MEDIUM,OWNER_DECISION,NONE,ML-013: placement decision pending; in parts/ not screens/,
app-client/screens/BellScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client bell/notifications screen,
app-client/screens/BenefitsScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client benefits screen,
app-client/screens/CartScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client cart screen,
app-client/screens/DshCheckoutIntentScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,ML-006/ML-009: checkout intent screen; BLOCKED_BY_WLT payment callback (CG-004/CG-005),
app-client/screens/DshRatingScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client rating screen,
app-client/screens/EntryScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client entry screen,
app-client/screens/FavoriteToggleScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client favorite toggle screen,
app-client/screens/FavoritesScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client favorites screen,
app-client/screens/HomeScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client home screen,
app-client/screens/MySpaceScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client my space/account screen,
app-client/screens/NotificationsScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client notifications screen,
app-client/screens/OperationScreens.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client operation screens (multi-screen composite),
app-client/screens/OrdersTrackingScreens.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,ML-008: orders tracking screens; BLOCKED_BY_WLT refund bridge (CG-010/CG-035),
app-client/screens/SearchScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client search screen,
app-client/screens/StoreItemsScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client store items screen,
app-client/screens/StoreScreen.tsx,app-client,screens,SCREEN,dsh,DshClientSurface.tsx,app-client/index.ts,dsh-client.screen-registry.ts,DshClientSurface.tsx,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Client store screen; modified in V4/V6,
app-client/shared/get-dsh-category-icon-url.ts,app-client,shared,SHARED,dsh,HomeScreen.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Category icon URL resolver utility,
app-client/shared/map-menu-item-to-product-card.ts,app-client,shared,SHARED,dsh,StoreItemsScreen.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Menu item to product card mapper,
app-client/shared/resolve-dev-media-url.ts,app-client,shared,SHARED,dsh,multiple,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Dev media URL resolver,
app-client/shared/resolve-image-source.ts,app-client,shared,SHARED,dsh,StoreScreen.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Image source resolver,
app-client/shared/store-builders.ts,app-client,shared,SHARED,dsh,StoreScreen.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Store builder utilities,
app-client/shared/store-profile.ts,app-client,shared,SHARED,dsh,StoreScreen.tsx,app-client/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Store profile utilities,
app-client/sheets/CancelOrderSheet.tsx,app-client,sheets,SHEET,dsh,—,app-client/sheets/index.ts,—,—,—,EXPORTED_ONLY,LOW,LOW,WIRE_TO_PARENT,EXPORTED_ONLY,ML-007: exported from sheets/index.ts; NOT mounted in OrdersTrackingScreens; BLOCKED_BY_CONTRACT CG-009,
app-client/sheets/index.ts,app-client,sheets,INDEX,dsh,—,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Sheets barrel export for client sheets,
app-field/DshFieldSurface.tsx,app-field,—,SURFACE,app-field,app-field/mobile-entry.tsx,app-field/index.ts,—,app-field/mobile-entry.tsx,—,MOUNTED_HOST,LOW,LOW,KEEP,VERIFIED,Field surface host; renders stores/onboarding/visit/account/profile/history/finance routes,Confirmed by reading DshFieldSurface.tsx — only 7 route kinds handled
app-field/contracts/dsh-field-binding.contracts.ts,app-field,contracts,BRIDGE,dsh,DshFieldSurface.tsx,app-field/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Field binding contracts,
app-field/data/field-finance.preview-data.ts,app-field,data,FIXTURE_PREVIEW_DATA,dsh,DshFieldFinanceScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Field finance preview data,
app-field/data/field-onboarding.storage.ts,app-field,data,STATE,dsh,DshFieldSurface.tsx,—,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field onboarding local storage adapter,
app-field/data/field-state.preview-data.ts,app-field,data,FIXTURE_PREVIEW_DATA,dsh,DshFieldSurface.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Field state preview data,
app-field/data/field-stores.preview-data.ts,app-field,data,FIXTURE_PREVIEW_DATA,dsh,"DshFieldStoresScreen.tsx,DshFieldStoreOnboardingScreen.tsx",—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Field stores preview data; contains business logic helpers,
app-field/data/field-visit.preview-data.ts,app-field,data,FIXTURE_PREVIEW_DATA,dsh,DshFieldStoreVisitScreen.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Field visit preview data,
app-field/dsh-field.routes.ts,app-field,—,ROUTES,dsh,dsh-field.screen-registry.ts,app-field/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Field route ID type definitions,
app-field/dsh-field.screen-registry.ts,app-field,—,REGISTRY,dsh,DshFieldSurface.tsx,app-field/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Field screen registry; DshFieldReadinessEscalationScreen registered but surface has no render branch,
app-field/dsh-field.types.ts,app-field,—,TYPES,dsh,DshFieldSurface.tsx,app-field/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Field type definitions,
app-field/index.ts,app-field,—,INDEX,app-field,external consumers,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Field module barrel export,
app-field/mobile-entry.tsx,app-field,—,BRIDGE,app-field,mobile-shell,—,—,mobile-shell,—,MOUNTED_HOST,LOW,LOW,KEEP,VERIFIED,Mobile entry point; mounts DshFieldSurface,
app-field/parts/FieldStoreCard.tsx,app-field,parts,SHARED,dsh,DshFieldStoresScreen.tsx,app-field/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field store card component used by stores list screen,
app-field/screens/DshFieldFinanceScreen.tsx,app-field,screens,SCREEN,wlt.dsh,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-finance,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field finance screen; rendered by DshFieldSurface when route.kind===finance,
app-field/screens/DshFieldProfileHomeScreen.tsx,app-field,screens,SCREEN,app-field,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-account,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field profile home screen; rendered by DshFieldSurface when route.kind===account,
app-field/screens/DshFieldProfileScreen.tsx,app-field,screens,SCREEN,app-field,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-profile,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field profile screen; rendered by DshFieldSurface when route.kind===profile,
app-field/screens/DshFieldReadinessEscalationScreen.tsx,app-field,screens,SCREEN,app-field,—,app-field/index.ts,dsh-field.screen-registry.ts,—,dsh-field-readiness-escalation,REGISTERED_ROUTE,MEDIUM,LOW,OWNER_DECISION,REGISTERED_ONLY,Registered in screen registry (READY_FOR_REVIEW) but DshFieldSurface has no readiness-escalation route kind — NOT rendered by surface,DshFieldSurface route stack handles: stores/onboarding/visit/account/profile/history/finance — no escalation branch
app-field/screens/DshFieldStoreOnboardingScreen.tsx,app-field,screens,SCREEN,dsh,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-onboarding,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,ML-005: onboarding screen; WIRED_IN_FLOW confirmed — DshFieldSurface renders it when route.kind===onboarding,DocumentVerificationSection is NOT imported by this screen despite sections/index.ts existing
app-field/screens/DshFieldStoreVisitScreen.tsx,app-field,screens,SCREEN,dsh,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-visit,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field store visit screen; WIRED_IN_FLOW confirmed — DshFieldSurface renders it when route.kind===visit,VisitEvidenceSection is NOT imported by this screen despite sections/index.ts existing
app-field/screens/DshFieldStoresHistoryScreen.tsx,app-field,screens,SCREEN,dsh,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-history,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field stores history screen; rendered by DshFieldSurface when route.kind===history,
app-field/screens/DshFieldStoresScreen.tsx,app-field,screens,SCREEN,dsh,DshFieldSurface.tsx,app-field/index.ts,dsh-field.screen-registry.ts,DshFieldSurface.tsx,dsh-field-stores,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field stores list screen; rendered by DshFieldSurface as default (route.kind===stores),
app-field/sections/DocumentVerificationSection.tsx,app-field,sections,SECTION,dsh,—,app-field/sections/index.ts,—,—,—,EXPORTED_ONLY,LOW,MEDIUM,WIRE_TO_PARENT,EXPORTED_ONLY,ML-002: exported from sections/index.ts but NOT imported by DshFieldStoreOnboardingScreen; BLOCKED_BY_CONTRACT (document upload API not proven),False claim in V6 gate that this was wired — sections/index.ts created but parent screen still does not import it
app-field/sections/VisitEvidenceSection.tsx,app-field,sections,SECTION,dsh,—,app-field/sections/index.ts,—,—,—,EXPORTED_ONLY,LOW,MEDIUM,WIRE_TO_PARENT,EXPORTED_ONLY,ML-003: exported from sections/index.ts but NOT imported by DshFieldStoreVisitScreen (screen has inline evidence rendering); BLOCKED_BY_CONTRACT,Was not in old V6 skeleton wiring matrix at all — must be added
app-field/sections/index.ts,app-field,sections,INDEX,dsh,—,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Sections barrel export; exports DocumentVerificationSection and VisitEvidenceSection,Created in V6 but sections still not imported by parent screens
app-field/types/DshFieldStoreVisitTypes.ts,app-field,types,TYPES,dsh,DshFieldStoreVisitScreen.tsx,app-field/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Field visit type definitions; imported by DshFieldStoreVisitScreen,
app-partner/DshPartnerSurface.tsx,app-partner,—,SURFACE,app-partner,app-partner/mobile-shell,app-partner/index.ts,—,app-partner/mobile-shell,—,MOUNTED_HOST,LOW,MEDIUM,KEEP,VERIFIED,Surface host for partner app,
app-partner/contracts/dsh-partner-binding.contracts.ts,app-partner,contracts,BRIDGE,dsh,DshPartnerSurface.tsx,app-partner/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Partner binding contracts,
app-partner/data/partner-order-alert.preview-data.ts,app-partner,data,FIXTURE_PREVIEW_DATA,dsh,PartnerOrderAlertsPanel.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Partner order alert preview data,
app-partner/data/partner-order-conversation.preview-data.ts,app-partner,data,FIXTURE_PREVIEW_DATA,dsh,PartnerOrderConversationPanel.tsx,—,—,—,—,PREVIEW_FIXTURE,LOW,LOW,KEEP,VERIFIED,Partner order conversation preview data,
app-partner/dsh-partner.routes.ts,app-partner,—,ROUTES,dsh,dsh-partner.screen-registry.ts,app-partner/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Partner route ID type definitions,
app-partner/dsh-partner.screen-registry.ts,app-partner,—,REGISTRY,dsh,DshPartnerSurface.tsx,app-partner/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Partner screen registry,
app-partner/dsh-partner.types.ts,app-partner,—,TYPES,dsh,DshPartnerSurface.tsx,app-partner/index.ts,—,—,—,DATA_ONLY,LOW,LOW,KEEP,VERIFIED,Partner type definitions,
app-partner/index.ts,app-partner,—,INDEX,app-partner,external consumers,—,—,—,—,EXPORTED_ONLY,LOW,LOW,KEEP,VERIFIED,Partner module barrel export,
app-partner/parts/PartnerInventoryActionPanel.tsx,app-partner,parts,SHARED,dsh,InventoryCatalogScreen.tsx,app-partner/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Partner inventory action panel,
app-partner/parts/PartnerOnboardingActionPanel.tsx,app-partner,parts,SHARED,dsh,DshPartnerSurface.tsx,app-partner/index.ts,—,—,—,IMPORTED_RENDERED,LOW,LOW,KEEP,VERIFIED,Partner onboarding action panel,
