gap_id,flow_step,surface,screen_id,gap_type,needed_contract,why_needed,priority,blocked_by,openapi_action,status,notes
CG-011,rating,app-client,client.dsh.order.rating,WRITE,POST /dsh/orders/:orderId/rating — post-delivery rating submission,Rating screen exists READY_FOR_REVIEW but has no API contract for submission,P2,CG-005 (delivered order must exist),ADD path POST /dsh/orders/:orderId/rating with score and comment fields,NEEDS_CONTRACT_GAP,Triggered after delivered state; feeds CP audit and captain performance data
CG-012,support-ticket,app-client,"client.dsh.order.issue.workspace,client.dsh.conversation.workspace",WRITE,POST /dsh/support/tickets — create support ticket for order issue or complaint,Support ticket creation needs an API contract; both client and ops-side need this to work,P0,Loop 4 skeleton for CP support (ML-046 ML-047),ADD path POST /dsh/support/tickets and GET /dsh/support/tickets/:id,NEEDS_CONTRACT_GAP,Client creates ticket; ops receives it in CP support section; no CP support section exists (SP-01..SP-07 MISSING)
CG-013,captain-offers,app-captain,"captain.dsh.orders.inbox,captain.dsh.orders.detail",READ,GET /dsh/captain/offers — active order offer queue for captain,Captain offer inbox has no real data source; captain cannot receive real orders,P0,Captain activation and availability (CG-019),ADD path GET /dsh/captain/offers; supports push notification for new offers,NEEDS_CONTRACT_GAP,Real-time or push-based; offer timer countdown depends on offer.expiresAt field (ML-016)
CG-014,offer-accept,app-captain,captain.dsh.orders.inbox,WRITE,POST /dsh/captain/offers/:offerId/accept — accept order offer,Captain offer accept has no API contract; acceptance flow is incomplete (ML-028),P0,CG-013 (offer must exist),ADD path POST /dsh/captain/offers/:offerId/accept,NEEDS_CONTRACT_GAP,ML-027 ML-028 — offer-accept state needs this contract; triggers captain assignment and partner notification
CG-015,offer-decline,app-captain,captain.dsh.orders.inbox,WRITE,POST /dsh/captain/offers/:offerId/decline — decline offer with reason,Captain offer decline is MISSING (ML-024); no decline path or reason collection exists,P1,CG-013 (offer must exist) + Loop 4 decline sheet skeleton,ADD path POST /dsh/captain/offers/:offerId/decline with reason code,NEEDS_CONTRACT_GAP,ML-024 — decline triggers reassignment signal; reason data feeds captain performance monitoring
CG-016,pickup,app-captain,captain.dsh.orders.pickup-dropoff,WRITE,POST /dsh/captain/orders/:orderId/arrive-pickup and POST /dsh/captain/orders/:orderId/confirm-pickup,Captain pickup flow needs arrive and confirm contracts; currently no binding exists,P0,CG-014 (offer must be accepted) + DshCaptainMapScreen registration (ML-025),ADD paths POST arrive-pickup and POST confirm-pickup,NEEDS_CONTRACT_GAP,DshCaptainMapScreen (ML-025) must be registered before pickup integration; ML-029 in-transit state needs this contract
CG-017,delivery,app-captain,captain.dsh.orders.pickup-dropoff,WRITE,POST /dsh/captain/orders/:orderId/arrive-dropoff and POST /dsh/captain/orders/:orderId/confirm-delivery,Captain dropoff and delivery confirmation need API contracts,P0,CG-016 (pickup must be confirmed),ADD paths POST arrive-dropoff and POST confirm-delivery,NEEDS_CONTRACT_GAP,COD flag from WLT is read-only signal at delivery step; DSH confirms delivery — WLT reconciles COD
CG-018,proof-of-delivery,app-captain,captain.dsh.orders.pod-submission,WRITE,POST /dsh/captain/orders/:orderId/pod — submit proof of delivery with media upload,PoD submission needs file upload contract; rejection/retry state needs GET /dsh/captain/orders/:orderId/pod/status,P0,CG-017 (delivery must be confirmed) + media storage binding,ADD paths POST /dsh/captain/orders/:orderId/pod and GET pod/status,NEEDS_CONTRACT_GAP,ML-031 PoD rejection state needs GET pod/status to show ops decision back to captain
CG-019,availability,app-captain,"captain.dsh.entry,captain.dsh.home.dashboard",WRITE,POST /dsh/captain/availability — captain go-online / go-offline toggle,Captain availability toggle is MISSING (ML-026); captain cannot signal availability to receive offers,P1,Captain profile registration,ADD path POST /dsh/captain/availability with status (online/offline),NEEDS_CONTRACT_GAP,ML-026 availability toggle; CG-013 offers only go to online captains; CG-019 must be called before CG-013
CG-020,partner-order-queue,app-partner,"partner.dsh.orders.inbox,partner.dsh.order.detail",READ,GET /dsh/partner/orders — partner incoming and active order queue with acceptance timer,Partner inbox has no real data source; acceptance timer countdown requires server-side offer.expiresAt,P0,Partner availability (ML-017),ADD path GET /dsh/partner/orders?status=incoming&active with pagination,NEEDS_CONTRACT_GAP,ML-016 acceptance timer countdown depends on offer.expiresAt from this contract
CG-021,partner-order-accept,app-partner,partner.dsh.order.detail,WRITE,POST /dsh/partner/orders/:orderId/accept — partner accepts incoming order,Partner accept CTA has no API contract; acceptance timer gap (ML-016) worsened without this,P0,CG-020 (order must be in partner queue),ADD path POST /dsh/partner/orders/:orderId/accept,NEEDS_CONTRACT_GAP,On accept: triggers captain assignment flow; notifies client that order is accepted
CG-022,partner-order-reject,app-partner,partner.dsh.order.rejection,WRITE,POST /dsh/partner/orders/:orderId/reject — partner rejects order with reason code,Partner rejection screen READY_FOR_REVIEW but has no API contract for rejection submission,P0,CG-020 (order must be in partner queue),ADD path POST /dsh/partner/orders/:orderId/reject with reason code,NEEDS_CONTRACT_GAP,On reject: triggers WLT reversal if payment captured; notifies client; feeds ops exception queue (EX-01)
CG-023,partner-status,app-partner,"partner.dsh.order.detail,partner.dsh.orders.inbox",WRITE,PATCH /dsh/partner/orders/:orderId/status — update preparation status (started / in-progress / ready),Preparation status states are MISSING or PARTIAL (ML-018 ML-019 ML-020); no PATCH contract exists,P0,CG-021 (order must be accepted),ADD path PATCH /dsh/partner/orders/:orderId/status with status enum,NEEDS_CONTRACT_GAP,status enum: preparation_started | preparing | ready_for_pickup; ready_for_pickup triggers captain notification
CG-024,field-onboarding,app-field,"field.dsh.stores.list,field.dsh.store.onboarding",WRITE,GET /dsh/field/stores and POST /dsh/field/stores/:storeId/onboarding — assigned store list and onboarding step submission,Field onboarding screens need real store assignment data and onboarding step persistence,P0,Field agent authentication and assignment,ADD paths GET /dsh/field/stores?agentId=:id and POST /dsh/field/stores/:storeId/onboarding,NEEDS_CONTRACT_GAP,ML-002 document section and ML-005 exit state both depend on onboarding step tracking; step data includes evidence files
CG-025,field-visit,app-field,"field.dsh.store.visit,field.dsh.stores.history",WRITE,POST /dsh/field/stores/:storeId/visit and GET /dsh/field/visits/history,Store visit requires photo/evidence upload and persistent record; history screen needs visit records,P0,CG-024 (store must be in onboarding),ADD paths POST /dsh/field/stores/:storeId/visit and GET /dsh/field/visits/history,NEEDS_CONTRACT_GAP,ML-003 photo capture section depends on this contract supporting media upload
CG-026,field-escalation,app-field,field.dsh.store.readiness-escalation,WRITE,POST /dsh/field/stores/:storeId/escalation and GET escalation status,Readiness escalation needs a submission contract and a status check (ML-004 ops-dependency),P1,CG-024 (onboarding must be in progress) + ML-001 ops approval,ADD paths POST escalation and GET escalation-status,NEEDS_CONTRACT_GAP,ML-004 pending/approved/rejected state needs GET escalation-status; ML-001 ops approval action needs this to exist
CG-027,live-orders,control-panel,"cp.ops.live-orders,cp.ops.command-center",READ+STREAM,GET /dsh/ops/orders — live order feed with statuses and assignment state (STREAM),CP live orders monitoring needs real-time order data stream; currently preview only,P0,Order lifecycle binding,ADD path GET /dsh/ops/orders with SSE or WebSocket binding for live updates,NEEDS_CONTRACT_GAP,Feeds LiveOrdersScreen and CommandCenterScreen; drives DispatchAssignmentScreen
CG-028,ops-assignment,control-panel,"cp.ops.dispatch,cp.ops.exceptions",WRITE,POST /dsh/ops/orders/:orderId/assign — manual captain assignment,Manual assignment in DispatchAssignmentScreen has no API contract,P0,CG-027 (live orders must exist) + captain offer contracts (CG-013 CG-014),ADD path POST /dsh/ops/orders/:orderId/assign?captainId=:id,NEEDS_CONTRACT_GAP,Also triggers for reassignment (EX-03 EX-16); ML-037 reassignment trigger gap
CG-029,ops-exceptions,control-panel,cp.ops.exceptions,READ,GET /dsh/ops/exceptions — exception queue with all active exception cases,ExceptionsEscalationsScreen has no real data source; exception cases from EX-matrix cannot be tracked,P0,CG-027 (live orders) + exception creation from partner/captain/client flows,ADD path GET /dsh/ops/exceptions with filtering by type/actor/priority,NEEDS_CONTRACT_GAP,Feeds ExceptionsEscalationsScreen; exception types from DSH_EXCEPTION_AND_SETTLEMENT_MATRIX.csv
CG-030,messaging-read,multiple,"client.dsh.conversation.workspace,captain.dsh.orders.chat,captain.dsh.support.workspace",READ,GET /dsh/messaging/:orderId/messages — message thread for order (any actor pair),All messaging screens need to read conversation threads; no contract exists,P1,Order lifecycle (order must exist for thread context),ADD path GET /dsh/messaging/:orderId/messages?thread_type=:type,NEEDS_CONTRACT_GAP,thread_type enum: captain|support|ops|partner; ML-011 thread differentiation depends on this param
CG-031,messaging-write,multiple,"client.dsh.conversation.workspace,captain.dsh.orders.chat,captain.dsh.support.workspace",WRITE,POST /dsh/messaging/:orderId/messages — send message in thread (any actor pair),All messaging screens need to send messages; no contract exists,P1,CG-030 (thread must exist),ADD path POST /dsh/messaging/:orderId/messages with actorId actorType body threadType,NEEDS_CONTRACT_GAP,Shared contract across all messaging surfaces; ops-side (ML-050 ML-051 ML-052) also needs this
CG-032,support-tickets,control-panel,"cp.support.ticket-list,cp.support.ticket-detail",READ+WRITE,GET /dsh/ops/support/tickets and GET /dsh/ops/support/tickets/:id,CP support section is entirely MISSING (SP-01..SP-07); ops needs ticket list and detail,P0,Loop 4 skeleton CP support screens (ML-046 ML-047),ADD paths GET /dsh/ops/support/tickets and GET/PATCH /dsh/ops/support/tickets/:id,NEEDS_CONTRACT_GAP,Feeds SupportTicketListScreen and SupportTicketDetailWorkspace; ticket creation comes from CG-012
CG-033,partner-settlement,control-panel,cp.finance.partner-settlement,READ,GET /dsh/ops/finance/settlements — WLT partner settlement status (bridge read-only),CP finance partner settlement workspace is MISSING (ML-040); ops cannot see settlement,P0,WLT settlement execution (WLT-owned) + Loop 4 skeleton,ADD path GET /dsh/ops/finance/settlements?partnerId=:id proxying WLT settlement status,NEEDS_CONTRACT_GAP,DSH reads WLT settlement status read-only; WLT owns all settlement logic; ML-040
CG-034,captain-payout,control-panel,cp.finance.captain-payout,READ,GET /dsh/ops/finance/payouts — WLT captain payout status (bridge read-only),CP finance captain payout workspace is MISSING (ML-041); ops cannot see payout,P0,WLT payout execution (WLT-owned) + Loop 4 skeleton,ADD path GET /dsh/ops/finance/payouts?captainId=:id proxying WLT payout status,NEEDS_CONTRACT_GAP,DSH reads WLT payout status read-only; WLT owns all payout logic; ML-041
CG-035,refund-queue,control-panel,cp.finance.refund-queue,READ+WRITE,GET /dsh/ops/finance/refunds — refund queue + POST refund-candidacy classification,Refund management queue is MISSING (ML-042); ops cannot manage refunds or classify refund candidates,P0,WLT refund execution (WLT-owned) + Loop 4 skeleton,ADD path GET /dsh/ops/finance/refunds and POST /dsh/ops/finance/refunds/:id/classify,NEEDS_CONTRACT_GAP,DSH classifies refund candidacy (dsh-owned flag); WLT executes refund (WLT-owned); ML-042
CG-036,partner-activation,control-panel,"cp.partners.approvals,field.dsh.store.readiness-escalation",WRITE,POST /dsh/ops/partners/:partnerId/approve or /reject — ops approves or rejects partner activation,Field escalation (CG-026) feeds ops approval queue; no ops-side approval contract exists (ML-001),P0,CG-026 (escalation must exist) + Loop 4 skeleton ML-001,ADD path POST /dsh/ops/partners/:partnerId/approve and /reject with reason,NEEDS_CONTRACT_GAP,ML-001 ops activation approval gap; ML-004 pending-response state shown to field after this action
