screen_id,surface,file_path,route_id,screen_name,actor,owner_kind,owner_id,purpose,primary_job,primary_cta,required_states,current_status,design_review_status,is_route_screen,can_be_section,can_be_sheet,grouping_reason,click_depth_estimate,fragmentation_risk,god_screen_risk,notes
captain.dsh.orders.chat,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh-captain-order-chat,Order Chat,captain,service,dsh,Captain↔Client messaging within active order,Allow captain to message client about order,Send message,error|success|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP P1 — candidate for sheet within order detail,3,LOW,NO,
captain.dsh.orders.bell,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,dsh-captain-bell,Bell Notifications,captain,service,dsh,Quick notification modal for captain alerts,Show active alerts and offers in modal,View alert,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,MODAL P1 — same pattern as client bell; candidate for sheet,2,LOW,NO,
captain.dsh.support.directory,app-captain,dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx,dsh-captain-support-directory,Support Directory,captain,service,dsh,Captain support directory — contacts and help options,Show support options available to captain during order,Contact ops,error|success|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1,3,LOW,LOW,
captain.dsh.support.workspace,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-support-screen,Support Workspace,captain,service,dsh,Captain live support workspace during active order,Allow captain to chat with ops during order,Message ops,error|success|retry,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1 — lives in DshCaptainSurface god-file; needs split,3,HIGH,NO,
captain.dsh.account.root,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-account,Account Root,captain,app,app-captain,Captain account tab — personal info and history,Show captain personal hub,View account,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,TAB_ROOT P2 — lives in DshCaptainSurface god-file,2,HIGH,HIGH,
captain.dsh.account.profile,app-captain,dsh/frontend/app-captain/screens/DshCaptainProfileScreen.tsx,dsh-captain-account-profile,Account Profile,captain,service,dsh,Captain profile details — name/docs/rating,Show and allow editing of captain profile,Edit profile,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2,3,LOW,LOW,
captain.dsh.account.finance,app-captain,dsh/frontend/app-captain/screens/DshCaptainFinanceScreen.tsx,dsh-captain-account-finance,Account Finance,captain,integration,wlt.dsh,Captain COD balance and finance overview — WLT bridge,Show captain cash-on-delivery balance,View balance,loading|empty|error|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2 — WLT integration; serviceId=wlt,3,LOW,LOW,
captain.dsh.account.orders,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-account-orders,Account Orders History,captain,service,dsh,Captain past orders history,Show captain's delivery history,View history,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1 — lives in DshCaptainSurface god-file; needs split,3,HIGH,NO,
captain.dsh.account.docs,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-account-docs,Account Docs,captain,app,app-captain,Captain documents and compliance files,Show captain documents and renewal status,View docs,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2 — lives in DshCaptainSurface god-file,3,HIGH,NO,
captain.dsh.account.shifts,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-account-shifts,Account Shifts,captain,app,app-captain,Captain shift schedule and history,Show captain shift schedule,View shifts,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2 — lives in DshCaptainSurface god-file,3,HIGH,NO,
captain.dsh.account.support,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,dsh-captain-account-support,Account Support,captain,app,app-captain,Captain account-level support access,Show support options for account issues,Contact support,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2 — lives in DshCaptainSurface god-file,3,HIGH,NO,
captain.wlt.dsh.finance.bridge,app-captain,wlt/frontend/app-captain/dsh/WltDshCaptainBridge.tsx,wlt-dsh-captain-finance-bridge,WLT Captain Finance Bridge,captain,integration,wlt.dsh,WLT-owned captain finance bridge — payout and settlement,Show captain payout and settlement details,View payout,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P0 — WLT owned; DO NOT implement finance logic in DSH,3,LOW,LOW,serviceId=wlt linkedServiceId=dsh
captain.dsh.orders.pickup-dropoff,app-captain,dsh/frontend/app-captain/screens/DshCaptainPickupDropoffScreen.tsx,dsh-captain-pickup-dropoff,Pickup Dropoff,captain,app,app-captain,Captain pickup and dropoff execution flow with map,Guide captain through pickup and dropoff steps,Confirm pickup,success,READY_FOR_REVIEW,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1 — ownerKind=app; needs DshCaptainMapScreen integration review,3,LOW,LOW,
captain.dsh.orders.pod-submission,app-captain,dsh/frontend/app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,dsh-captain-pod-submission,PoD Submission,captain,app,app-captain,Captain proof-of-delivery submission — photo/signature capture,Allow captain to submit delivery proof,Submit proof,loading|success|error,READY_FOR_REVIEW,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1 — ownerKind=app,4,LOW,LOW,
field.dsh.stores.list,app-field,dsh/frontend/app-field/screens/DshFieldStoresScreen.tsx,dsh-field-stores,Field Stores List,field,service,dsh,Field agent store assignment and status list,Show stores assigned to field agent for onboarding visits,Select store,loading|empty|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,TAB_ROOT P0 — primary field surface entry,0,LOW,LOW,
field.dsh.store.onboarding,app-field,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,dsh-field-onboarding,Store Onboarding,field,service,dsh,Field agent executes partner store onboarding flow,Guide field agent through store activation checklist,Complete onboarding step,success|disabled,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P0 — Field onboarding/activation only; exits after activation,2,LOW,LOW,
field.dsh.store.visit,app-field,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,dsh-field-visit,Store Visit,field,service,dsh,Field agent store visit recording — evidence and photos,Record store visit outcomes and capture evidence,Submit visit,loading|empty|error|success|offline|disabled,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P0 — visit within onboarding or readiness escalation flow,3,LOW,LOW,
field.dsh.account.home,app-field,dsh/frontend/app-field/screens/DshFieldProfileHomeScreen.tsx,dsh-field-account,Field Account Home,field,app,app-field,Field agent personal hub — profile/history/finance,Show field agent personal summary,View account,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,SCREEN_ENTRY P1 — ownerKind=app,1,LOW,LOW,
field.dsh.account.profile,app-field,dsh/frontend/app-field/screens/DshFieldProfileScreen.tsx,dsh-field-profile,Field Profile,field,app,app-field,Field agent profile details,Show and allow editing of field agent profile,Edit profile,success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2 — ownerKind=app,2,LOW,LOW,
field.dsh.stores.history,app-field,dsh/frontend/app-field/screens/DshFieldStoresHistoryScreen.tsx,dsh-field-history,Stores History,field,service,dsh,Field agent visit history — stores previously onboarded,Show history of store visits,View history,empty|success,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P2,2,LOW,LOW,
field.dsh.finance.overview,app-field,dsh/frontend/app-field/screens/DshFieldFinanceScreen.tsx,dsh-field-finance,Finance Overview,field,integration,wlt.dsh,Field agent finance overview — WLT bridge; commission and payout,Show field agent earnings summary,View earnings,loading|error|success|offline,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1 — WLT integration; serviceId=wlt,2,LOW,LOW,
field.wlt.dsh.finance.bridge,app-field,wlt/frontend/app-field/dsh/WltDshFieldBridge.tsx,wlt-dsh-field-finance-bridge,WLT Field Finance Bridge,field,integration,wlt.dsh,WLT-owned field finance bridge — commission and payout details,Show field agent payout and commission breakdown,View payout,loading|empty|error|success|offline|blocked,VERIFIED,NEEDS_VISUAL_EVIDENCE,YES,NO,NO,FLOW_STEP P1 — WLT owned; DO NOT implement finance logic in DSH,3,LOW,LOW,serviceId=wlt linkedServiceId=dsh
field.dsh.store.readiness-escalation,app-field,dsh/frontend/app-field/screens/DshFieldReadinessEscalationScreen.tsx,dsh-field-readiness-escalation,Readiness Escalation,field,app,app-field,Field agent escalates partner readiness issue to ops,Allow field agent to flag partner readiness problems,Escalate to ops,loading|success|error|blocked,READY_FOR_REVIEW,NEEDS_VISUAL_EVIDENCE,YES,NO,YES,FLOW_STEP P2 — candidate for sheet within visit flow,3,LOW,LOW,ownerKind=app
