path,roles_detected,owner_assessment,duplication_risk,recommended_action
dsh/frontend/control-panel/marketing/flow-meta.ts,,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/index.ts,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/loyaltyCommerceData.ts,approvals,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/section-catalog.ts,monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/marketing/section-meta.ts,,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/AreaCapacityScreen.tsx,operations | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/AuditSupportSlaScreen.tsx,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/AuditTrailDetailWorkspace.tsx,support/escalation | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/AwnakScreen.tsx,operations | approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/CaptainOperationsScreen.tsx,operations | support/escalation | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/CommandCenterScreen.tsx,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/ControlPanelDshSheinProxyScreen.tsx,operations | approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/DispatchAssignmentScreen.tsx,operations | approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/ExceptionsEscalationsScreen.tsx,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/GeoHeatmapScreen.tsx,operations | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/LiveOrdersScreen.tsx,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/OperationsHubScreen.tsx,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/PartnerStoresScreen.tsx,support/escalation | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/flow-meta.ts,operations,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/geo-heatmap.preview-data.ts,approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/index.ts,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/operations.preview-data.ts,operations | support/escalation | approvals | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/operations.registry.ts,operations | support/escalation | approvals | policy | monitoring | catalog/inventory | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/operations.types.ts,operations | support/escalation | approvals | policy | monitoring | catalog/inventory | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/operations/operations.ui.tsx,operations | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/ControlPanelDshPartnerApprovalsScreen.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/DshPartnerPromotionEligibilityScreen.tsx,approvals | policy | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/PartnerDeactivationWorkspace.tsx,operations | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/PartnerFulfillmentLane.tsx,operations | approvals | policy | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/PartnerIntakeLane.tsx,approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/PartnerManagementScreens.tsx,approvals | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/PartnerTopologyLane.tsx,operations | support/escalation | monitoring | catalog/inventory | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/index.ts,approvals | policy,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/partners/workflow.ts,operations | approvals | policy | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Appearance/DshPlatformAppearanceWorkspace.tsx,approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Appearance/appearance.preview.ts,operations | approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Appearance/appearance.types.ts,approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Appearance/index.ts,approvals | platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Audit/DshPlatformAuditWorkspace.tsx,platform/vars | policy | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Audit/index.ts,platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/ControlPanelDshPlatformScreen.tsx,approvals | platform/vars | monitoring | catalog/inventory,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Health/DshPlatformHealthWorkspace.tsx,approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Health/index.ts,platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Providers/DshPlatformProvidersWorkspace.tsx,approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Providers/index.ts,platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Providers/providers.preview.ts,approvals | platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Providers/providers.types.ts,approvals | platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Rollouts/DshPlatformRolloutsWorkspace.tsx,platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Rollouts/index.ts,platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Services/DshPlatformServicesWorkspace.tsx,operations | approvals | platform/vars | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Services/index.ts,platform/vars,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Services/services.preview.ts,operations | approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Services/services.types.ts,operations | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Vars/DshPlatformVarsWorkspace.tsx,operations | support/escalation | approvals | platform/vars | policy | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Vars/index.ts,operations | approvals | platform/vars | monitoring,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",MEDIUM,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
dsh/frontend/control-panel/platform/Vars/vars.preview.ts,operations | support/escalation | approvals | platform/vars | policy | monitoring | finance bridge,"TBD-static; control-panel should own policies/escalation/approvals/vars, but code must be manually validated in Phase 0 review.",HIGH,Compare with mobile flows and convert into canonical owner/mapping in Phase 1/2; no backend mutation.
