severity,surface,path,issue_type,evidence,recommendation
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainPickupDropoffScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=17; placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=9; placeholder/preview/legacy/TBD tokens=8,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainProfileScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/DshClientSurface.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=10; placeholder/preview/legacy/TBD tokens=33; large file lines=1340,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/contracts/dsh-client-binding.contracts.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/categories.preview-data.ts,UI/UX/design-system/RTL,RTL/layout risk tokens=14; placeholder/preview/legacy/TBD tokens=26,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/discovery.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=7,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/home.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=39; large file lines=822,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/items.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=21,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/loyalty-commercial.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=15,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/notifications.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=9,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/store.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=7,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/subscriptions-commercial.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=6,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/data/surface-meta.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/dsh-client.routes.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=31,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=31,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/dsh-client.types.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/index.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-client,dsh/frontend/app-client/parts/ApprovedVideoReelsViewer.tsx,UI/UX/design-system/RTL,hardcoded color hits=1; RTL/layout risk tokens=14; placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/parts/AwnakOrderCreateScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=5,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/parts/CartDetails.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=15,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/parts/LoyaltyRewardsScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=12; placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/parts/OperationScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/parts/SheinOrderCreateScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=5,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/parts/SubscriptionsScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=76; placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/AddressLocationScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=4,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-client,dsh/frontend/app-client/screens/BellScreen.tsx,UI/UX/design-system/RTL,hardcoded color hits=1; RTL/layout risk tokens=11; placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/BenefitsScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=13; placeholder/preview/legacy/TBD tokens=8,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/CartScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=221; placeholder/preview/legacy/TBD tokens=74; large file lines=2388,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/DshCheckoutIntentScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=46; placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/DshRatingScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=19; placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/EntryScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-client,dsh/frontend/app-client/screens/HomeScreen.tsx,UI/UX/design-system/RTL,hardcoded color hits=9; RTL/layout risk tokens=84; placeholder/preview/legacy/TBD tokens=49; large file lines=2117,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/MySpaceScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=13; placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/MySpaceSubScreens.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=38; placeholder/preview/legacy/TBD tokens=7; large file lines=653,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/NotificationsScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=25; placeholder/preview/legacy/TBD tokens=5,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=15; placeholder/preview/legacy/TBD tokens=12; large file lines=954,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=111; placeholder/preview/legacy/TBD tokens=24; large file lines=2250,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-client,dsh/frontend/app-client/screens/StoreScreen.tsx,UI/UX/design-system/RTL,hardcoded color hits=38; RTL/layout risk tokens=162; placeholder/preview/legacy/TBD tokens=158; large file lines=2551,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/shared/map-menu-item-to-product-card.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-client,dsh/frontend/app-client/shared/store-builders.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=6,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/DshFieldSurface.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/contracts/dsh-field-binding.contracts.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=6,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/data/field-finance.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/data/field-onboarding.storage.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=6,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/data/field-state.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/data/field-stores.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=17; large file lines=877,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/dsh-field.routes.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=11,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=18,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/index.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/parts/FieldStoreCard.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=29; placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldFinanceScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldProfileHomeScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldReadinessEscalationScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=4,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=19; placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoresHistoryScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoresScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/DshPartnerSurface.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=5; large file lines=796,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/contracts/dsh-partner-binding.contracts.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=13,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/data/partner-order-alert.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/data/partner-order-conversation.preview-data.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/dsh-partner.routes.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=15,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/dsh-partner.screen-registry.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=24,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/dsh-partner.types.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=8,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/index.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/parts/PartnerOrderActionPanel.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-partner,dsh/frontend/app-partner/parts/PartnerOrderAlertsPanel.tsx,UI/UX/design-system/RTL,hardcoded color hits=4; placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/parts/PartnerOrderConversationPanel.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/parts/PartnerOrderIssuePanel.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=13,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-partner,dsh/frontend/app-partner/screens/DshPartnerOrderRejectionScreen.tsx,UI/UX/design-system/RTL,hardcoded color hits=1; RTL/layout risk tokens=25,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/DshPartnerStoreCourierScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=24; placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=123; placeholder/preview/legacy/TBD tokens=27; large file lines=1416,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/OperationScreens.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
HIGH,app-partner,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,UI/UX/design-system/RTL,hardcoded color hits=2; RTL/layout risk tokens=60; placeholder/preview/legacy/TBD tokens=5; large file lines=925,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/PartnerEntryScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=91; placeholder/preview/legacy/TBD tokens=14; large file lines=1396,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/PartnerSupportScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=39; placeholder/preview/legacy/TBD tokens=44; large file lines=680,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/PromotionsScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=29; placeholder/preview/legacy/TBD tokens=4,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,app-partner,dsh/frontend/app-partner/screens/StoreProfileScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=20; placeholder/preview/legacy/TBD tokens=4,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/DshControlPanelSurfaceHost.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/administration/ControlPanelDshAdministrationScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=17; placeholder/preview/legacy/TBD tokens=7,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/administration/administration.mock.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=3,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/administration/administration.types.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/administration/index.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/CatalogAdoptionQueue.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogCategoriesScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogScreen.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=30; placeholder/preview/legacy/TBD tokens=9; large file lines=682,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/catalog.ts,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=30,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/CaptainPayoutWorkspace.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=2,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/CommissionBreakdownWorkspace.tsx,UI/UX/design-system/RTL,RTL/layout risk tokens=26; placeholder/preview/legacy/TBD tokens=9,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/FieldCommissionWorkspace.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/FinanceHubScreen.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=28,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/FinanceHubScreens.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=4,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/PartnerSettlementWorkspace.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
MEDIUM,control-panel,dsh/frontend/control-panel/finance/PlatformFeeAuditWorkspace.tsx,UI/UX/design-system/RTL,placeholder/preview/legacy/TBD tokens=1,"Review component ownership, compact spacing, RTL clustering, and central UI-kit usage. Avoid source edits until Phase task scopes it."
