"operation_id","donor_surface","donor_screen_id","donor_route","operation_bindings","guards_applied","rbac_required","step_up_required","target_family_guess","target_status","target_candidate_ids","target_canonical","mapping_confidence","mapping_notes"
"dsh_proxy_request_schedule","MCPW","shein_proxy_schedule_screen","/app/operations/dsh/sheinproxy/[id]/schedule","dsh_proxy_request_schedule","SurfaceGuard|RbacAbacBarGuard","true","false","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_field_store_activation_request","APP_FIELD","PLANNED_dsh_field_store_activation_request","/dsh/planned","dsh_field_store_activation_request","SurfaceGuard","true","false","dsh_field_activation_support","covered","dsh_field_activation_workspace|dsh_field_geo_pin_companion|dsh_field_visit_log_companion","dsh_field_activation_workspace","high","Field support branch remains optional."
"dsh_field_store_geo_pin","APP_FIELD","PLANNED_dsh_field_store_geo_pin","/dsh/planned","dsh_field_store_geo_pin","SurfaceGuard","true","false","dsh_field_activation_support","covered","dsh_field_activation_workspace|dsh_field_geo_pin_companion|dsh_field_visit_log_companion","dsh_field_activation_workspace","high","Field support branch remains optional."
"dsh_field_store_visit_log","APP_FIELD","PLANNED_dsh_field_store_visit_log","/dsh/planned","dsh_field_store_visit_log","SurfaceGuard","true","false","dsh_field_activation_support","covered","dsh_field_activation_workspace|dsh_field_geo_pin_companion|dsh_field_visit_log_companion","dsh_field_activation_workspace","high","Field support branch remains optional."
"dsh_loyalty_points_redeem","APP_USER","auto_dsh_loyalty_points_redeem","DshLoyaltyPointsRedeem","dsh_loyalty_points_redeem","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_loyalty_points_user_balance","APP_USER","auto_dsh_loyalty_points_user_balance","DshLoyaltyPointsUserBalance","dsh_loyalty_points_user_balance","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_loyalty_points_user_history","APP_USER","auto_dsh_loyalty_points_user_history","DshLoyaltyPointsUserHistory","dsh_loyalty_points_user_history","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_order_issue_flag","APP_USER","DshOrderIssueFlag","/dsh/order-issue-flag","dsh_order_issue_flag","SurfaceGuard","true","false","dsh_ops_governance_controls","internal_or_support","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","medium","Internal oversight or exception handling family."
"dsh_order_proof_code_generate","APP_USER","DshOrderProofCodeGenerate","/dsh/order-proof-code-generate","dsh_order_proof_code_generate","SurfaceGuard","true","false","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
"dsh_order_proof_verify","APP_USER","DshOrderProofVerify","/dsh/order-proof-verify","dsh_order_proof_verify","SurfaceGuard","true","false","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
"dsh_partner_chat_read_ack","APP_PARTNER","PLANNED_dsh_partner_chat_read_ack","/dsh/planned","dsh_partner_chat_read_ack","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","high","Partner chat is kept as a companion interaction."
"dsh_partner_chat_send","APP_PARTNER","PLANNED_dsh_partner_chat_send","/dsh/planned","dsh_partner_chat_send","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","high","Partner chat is kept as a companion interaction."
"dsh_partner_delivery_zones_update","APP_PARTNER","PLANNED_dsh_partner_delivery_zones_update","/dsh/planned","dsh_partner_delivery_zones_update","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_doc_upload","APP_PARTNER","PLANNED_dsh_partner_doc_upload","/dsh/planned","dsh_partner_doc_upload","SurfaceGuard","true","false","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_hours_update","APP_PARTNER","PLANNED_dsh_partner_hours_update","/dsh/planned","dsh_partner_hours_update","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner hours remain part of store-readiness maintenance."
"dsh_partner_identity_submit","APP_PARTNER","PLANNED_dsh_partner_identity_submit","/dsh/planned","dsh_partner_identity_submit","SurfaceGuard","true","false","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_intake_start","APP_PARTNER","PLANNED_dsh_partner_intake_start","/dsh/planned","dsh_partner_intake_start","SurfaceGuard","true","false","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_inventory_adjust","APP_PARTNER","PLANNED_dsh_partner_inventory_adjust","/dsh/planned","dsh_partner_inventory_adjust","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_inventory_update","APP_PARTNER","PLANNED_dsh_partner_inventory_update","/dsh/planned","dsh_partner_inventory_update","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_items_upsert","APP_PARTNER","PLANNED_dsh_partner_items_upsert","/dsh/planned","dsh_partner_items_upsert","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_manager_invite","APP_PARTNER","PLANNED_dsh_partner_manager_invite","/dsh/planned","dsh_partner_manager_invite","SurfaceGuard","true","false","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_quick_reply_config_get","APP_PARTNER","PLANNED_dsh_partner_quick_reply_config_get","/dsh/planned","dsh_partner_quick_reply_config_get","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_quick_reply_post","APP_PARTNER","PLANNED_dsh_partner_quick_reply_post","/dsh/planned","dsh_partner_quick_reply_post","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_quick_reply_setup","APP_PARTNER","PLANNED_dsh_partner_quick_reply_setup","/dsh/planned","dsh_partner_quick_reply_setup","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_quick_reply_webhook_post","APP_PARTNER","PLANNED_dsh_partner_quick_reply_webhook_post","/dsh/planned","dsh_partner_quick_reply_webhook_post","SurfaceGuard","true","false","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_store_create","APP_PARTNER","PLANNED_dsh_partner_store_create","/dsh/planned","dsh_partner_store_create","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_get","APP_PARTNER","PLANNED_dsh_partner_store_get","/dsh/planned","dsh_partner_store_get","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_update","APP_PARTNER","PLANNED_dsh_partner_store_update","/dsh/planned","dsh_partner_store_update","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_service_modes_update","APP_PARTNER","PLANNED_dsh_partner_store_service_modes_update","/dsh/planned","dsh_partner_store_service_modes_update","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_status_update","APP_PARTNER","PLANNED_dsh_partner_store_status_update","/dsh/planned","dsh_partner_store_status_update","SurfaceGuard","true","false","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_order_handoff","APP_PARTNER","PLANNED_dsh_partner_order_handoff","/dsh/planned","dsh_partner_order_handoff","SurfaceGuard","true","false","dsh_partner_order_handling","covered","dsh_partner_order_workspace|dsh_partner_handoff_action","dsh_partner_order_workspace","high","Partner execution stays inside one workspace."
"dsh_partner_subscription_analytics_get","APP_PARTNER","PLANNED_dsh_partner_subscription_analytics_get","/dsh/planned","dsh_partner_subscription_analytics_get","SurfaceGuard","true","false","legacy_partner_subscription_analytics","move_to_legacy","dsh_partner_subscription_analytics_cluster","","high","Partner subscription and analytics extras remain outside current truth."
"dsh_partner_subscription_get","APP_PARTNER","PLANNED_dsh_partner_subscription_get","/dsh/planned","dsh_partner_subscription_get","SurfaceGuard","true","false","legacy_partner_subscription_analytics","move_to_legacy","dsh_partner_subscription_analytics_cluster","","high","Partner subscription and analytics extras remain outside current truth."
"dsh_partner_subscription_upgrade_post","APP_PARTNER","PLANNED_dsh_partner_subscription_upgrade_post","/dsh/planned","dsh_partner_subscription_upgrade_post","SurfaceGuard","true","false","legacy_partner_subscription_analytics","move_to_legacy","dsh_partner_subscription_analytics_cluster","","high","Partner subscription and analytics extras remain outside current truth."
"dsh_pricing_preview","APP_USER","DshPricingPreview","DshPricingPreview","dsh_pricing_preview","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_pricing_snapshot_get","APP_USER","PLANNED_dsh_pricing_snapshot_get","/dsh/planned","dsh_pricing_snapshot_get","SurfaceGuard","true","false","dsh_store_discovery","support_folded","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","medium","Discovery and detail-support operation family."
"dsh_promo_apply","APP_USER","NOT_REQUIRED_APP_USER","/dsh/planned","dsh_promo_apply","NOT_REQUIRED","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_service_modes_resolve","APP_USER","PLANNED_dsh_service_modes_resolve","/dsh/planned","dsh_service_modes_resolve","SurfaceGuard","true","false","dsh_store_discovery","support_folded","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","medium","Discovery and detail-support operation family."
"dsh_store_commission_set","APP_USER","PLANNED_dsh_store_commission_set","/dsh/planned","dsh_store_commission_set","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_store_fulfillment_profile_update","APP_USER","PLANNED_dsh_store_fulfillment_profile_update","/dsh/planned","dsh_store_fulfillment_profile_update","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_store_modes_set","APP_USER","PLANNED_dsh_store_modes_set","/dsh/planned","dsh_store_modes_set","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_store_service_modes_get","APP_USER","PLANNED_dsh_store_service_modes_get","/dsh/planned","dsh_store_service_modes_get","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_store_zones_set","APP_USER","PLANNED_dsh_store_zones_set","/dsh/planned","dsh_store_zones_set","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_store_products","APP_USER","PLANNED_dsh_store_products","/dsh/planned","dsh_store_products","SurfaceGuard","true","false","dsh_store_discovery","covered","dsh_client_category_or_store_detail","dsh_client_category_or_store_detail","high","Store detail and item selection family."
"dsh_subscription_family_get","APP_USER","PLANNED_dsh_subscription_family_get","/dsh/planned","dsh_subscription_family_get","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_subscription_family_members_get","APP_USER","PLANNED_dsh_subscription_family_members_get","/dsh/planned","dsh_subscription_family_members_get","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_subscription_family_members_post","APP_USER","PLANNED_dsh_subscription_family_members_post","/dsh/planned","dsh_subscription_family_members_post","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_subscription_sync","APP_USER","PLANNED_dsh_subscription_sync","/dsh/planned","dsh_subscription_sync","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_subscription_tier_get","APP_USER","auto_dsh_subscription_tier_get","DshSubscriptionTierGet","dsh_subscription_tier_get","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_subscription_upgrade_post","APP_USER","PLANNED_dsh_subscription_upgrade_post","/dsh/planned","dsh_subscription_upgrade_post","SurfaceGuard","true","false","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_zone_set","APP_PARTNER","PLANNED_dsh_zone_set","/partner/dsh/zone-set","dsh_zone_set","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_zone_set","MCPW","MCPW_dsh_zone_set","/app/operations/dsh/zone-set","dsh_zone_set","SurfaceGuard","true","false","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and MCPW/admin ownership here; clean target model narrows or defers it."
"dsh_order_status_update","APP_USER","DshOrderStatusUpdate","/dsh/order-status-update","dsh_order_status_update","SurfaceGuard","true","false","dsh_customer_order_tracking","covered","dsh_client_active_order_tracking","dsh_client_active_order_tracking","high","Customer-visible order tracking family."
"dsh_listing_status_update","APP_PARTNER","dsh_partner_listing_status_update","/dsh/partner/listing-status","dsh_listing_status_update","SurfaceGuard","true","false","dsh_ops_governance_controls","internal_or_support","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","medium","Internal oversight or exception handling family."
"dsh_auction_status_update","APP_PARTNER","dsh_partner_auction_status_update","/dsh/partner/auction-status","dsh_auction_status_update","SurfaceGuard","true","false","dsh_ops_governance_controls","internal_or_support","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","medium","Internal oversight or exception handling family."
"dsh_captain_tier_evaluate","APP_CAPTAIN","PLANNED_dsh_captain_tier_evaluate","/dsh/planned","dsh_captain_tier_evaluate","SurfaceGuard","true","false","legacy_captain_finance_tier","move_to_legacy","dsh_captain_finance_and_tier_cluster","","high","Finance and tier material sits outside current first-service truth."
"dsh_captain_tier_info","APP_CAPTAIN","PLANNED_dsh_captain_tier_info","/dsh/planned","dsh_captain_tier_info","SurfaceGuard","true","false","legacy_captain_finance_tier","move_to_legacy","dsh_captain_finance_and_tier_cluster","","high","Finance and tier material sits outside current first-service truth."
"dsh_order_escrow_hold","APP_USER","DshOrderEscrowHold","/dsh/order-escrow-hold","dsh_order_escrow_hold","SurfaceGuard","true","false","legacy_finance_leakage","move_to_legacy","finance_or_wlt_deferred","","high","Escrow actions are finance-adjacent and remain outside current DSH first-service truth."
"dsh_order_escrow_release","APP_USER","DshOrderEscrowRelease","/dsh/order-escrow-release","dsh_order_escrow_release","SurfaceGuard","true","false","legacy_finance_leakage","move_to_legacy","finance_or_wlt_deferred","","high","Escrow actions are finance-adjacent and remain outside current DSH first-service truth."
"dsh_cart_init","APP_USER","dsh_cart_init","/dsh/cart/init","dsh_cart_init","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_cart_get","APP_USER","dsh_cart_get","/dsh/cart","dsh_cart_get","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_cart_item_add","APP_USER","dsh_cart_item_add","/dsh/cart/items/add","dsh_cart_item_add","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_cart_item_update","APP_USER","dsh_cart_item_update","/dsh/cart/items/update","dsh_cart_item_update","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_cart_item_remove","APP_USER","auto_dsh_cart_item_remove","/dsh/cart-item-remove","dsh_cart_item_remove","SurfaceGuard","true","false","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_delivery_attempt_create","APP_USER","DshDeliveryAttemptCreate","DshDeliveryAttemptCreate","dsh_delivery_attempt_create","SurfaceGuard","true","false","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
"dsh_delivery_eta_get","APP_USER","DshDeliveryEtaGet","DshDeliveryEtaGet","dsh_delivery_eta_get","SurfaceGuard","true","false","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
