gap_id,loop,surface,actor,original_gap_type,precise_kind,recommended_file_or_parent,priority,blocked_by,current_status,execution_decision,allowed_shape,protected_notes
ML-011,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,STATE,STATE,STATE within OperationScreens.tsx conversation-workspace (support-thread vs captain-thread),P1,messaging API (CG-030 CG-031),OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-012,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,SECTION,SECTION,SECTION within BenefitsScreen.tsx (LoyaltyRewardsSection),P2,none,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-013,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,SECTION,SECTION,SECTION within MySpaceScreen.tsx (SubscriptionsSection),P2,none,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-014,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,SECTION,SECTION,SECTION within HomeScreen.tsx or StoreScreen.tsx,P2,none,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-015,LOOP-03_APP_CLIENT_PROTECTED_LOGIC,app-client,client,STATE,STATE,STATE within DshCheckoutIntentScreen.tsx (quote-loading / quote-failed / quote-success),P1,serviceability API (CG-004),WIRED_IN_FLOW_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Protected app-client: preserve existing visual design; add only minimal state/sheet/section wiring; MySpace tabs may be fixed; no redesign.,APP_CLIENT_DESIGN_PROTECTED; existing visual review mostly completed; do not redesign; only logic-safe micro-fixes.
ML-016,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,SHEET,SHEET,SHEET within OrdersInboxScreen.tsx (acceptance-timer-sheet),P1,partner order API (CG-021),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Sheet inside existing parent flow; no new full route unless proven.,
ML-017,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,STATE,STATE,STATE within PartnerHubScreen.tsx or PartnerEntryScreen.tsx (availability-toggle),P1,partner availability API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-018,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,STATE,STATE,STATE within OrdersInboxScreen.tsx (preparation-started),P1,partner order status API (CG-023),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-019,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,STATE,STATE,STATE within OrdersInboxScreen.tsx (preparing / items-ready),P1,partner order status API (CG-023),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-020,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,STATE,STATE,STATE within OrdersInboxScreen.tsx (ready-for-pickup + mark-ready CTA),P0,partner order status API (CG-023),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-021,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,EVENT,EVENT_STATE,EVENT STATE within OrdersInboxScreen.tsx (captain-assigned / captain-arriving),P1,captain assignment API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-022,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,OPS_ACTION,SECTION_OR_PANEL,WORKSPACE in control-panel/support/ (ops↔partner messaging workspace),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Classify by evidence before mutation.,
ML-023,LOOP-04_APP_PARTNER_ORDER_LOGIC,app-partner,partner,SECTION,SECTION,SECTION within InventoryCatalogScreen.tsx or PromotionsScreen.tsx (clarify ownership),P2,Loop 3 ownership decision,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Section inside current parent screen; no route.,
ML-024,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,SHEET,SHEET,SHEET within DshCaptainOrdersScreen.tsx (offer-decline-sheet with reason),P1,captain offer API (CG-015),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Sheet inside existing parent flow; no new full route unless proven.,
ML-025,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,SCREEN,SCREEN,SCREEN registration in dsh-captain.screen-registry.ts + integration in captain pickup/dropoff flow,P0,screen registry update (Loop 4),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Existing registered screen must be rendered/wired; avoid new screen unless existing file impossible.,
ML-026,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,STATE,STATE,STATE within DshCaptainSurface.tsx or DshCaptainOrdersScreen.tsx (availability-toggle),P1,captain availability API (CG-019),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-027,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,STATE,STATE,STATE within DshCaptainOrdersScreen.tsx (offer-accepted / loading-assignment),P1,captain offer API (CG-014),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-028,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,STATE,STATE,STATE within DshCaptainOrdersScreen.tsx (viewing offer / accepting / accepted),P1,captain offer API (CG-014),OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,State/event inside current screen; preview/local-state only.,
ML-029,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,STATE,STATE,STATE within DshCaptainPickupDropoffScreen.tsx (out-for-delivery / navigating-to-dropoff),P1,none,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,FIX_UI_UX_FLOW_THEN_VISUAL_REVIEW_REQUIRED,State/event inside current screen; preview/local-state only.,
ML-030,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,SCREEN,SCREEN,SCREEN extracted from DshCaptainSurface.tsx to dsh/frontend/app-captain/screens/DshCaptainSupportWorkspaceScreen.tsx,P1,god-file split plan (Loop 5),OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Existing registered screen must be rendered/wired; avoid new screen unless existing file impossible.,
ML-031,LOOP-05_APP_CAPTAIN_DELIVERY_LOGIC,app-captain,captain,STATE,STATE,STATE within DshCaptainPoDSubmissionScreen.tsx (submitted / rejected / retry-required),P0,PoD API (CG-018),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,State/event inside current screen; preview/local-state only.,
ML-032,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,OPS_ACTION,PANEL_OR_QUEUE,WORKSPACE in control-panel/support/ (ops↔client-messaging-workspace),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-033,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,OPS_ACTION,PANEL_OR_QUEUE,WORKSPACE in control-panel/support/ (ops↔partner-messaging-workspace),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-034,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,OPS_ACTION,PANEL_OR_QUEUE,WORKSPACE in control-panel/support/ (ops↔captain-messaging-workspace),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-035,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,WORKSPACE,WORKSPACE_ONLY_IF_COMPLEX_CP; otherwise PANEL,WORKSPACE linked from AuditSupportSlaScreen (audit-trail-detail-workspace),P1,audit API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Use Workspace only for complex operator task area; otherwise use Panel/Queue/Section.,
ML-036,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,OPS_ACTION,SECTION_OR_PANEL,SECTION within DispatchAssignmentScreen.tsx (auto-assignment-config-section),P1,auto-assignment API,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-037,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,OPS_ACTION,SECTION_OR_PANEL,OPS_ACTION within ExceptionsEscalationsScreen.tsx (reassign-captain action panel),P1,reassignment API,OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-038,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,OPS_ACTION,PANEL_OR_SCREEN,OPS_ACTION WORKSPACE in control-panel/partners/ (partner-deactivation-workspace),P1,partner management API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-039,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,WORKSPACE,WORKSPACE_ONLY_IF_COMPLEX_CP; otherwise PANEL,WORKSPACE in control-panel/partners/ (partner-performance-workspace),P2,partner analytics API,EXPLICITLY_DEFERRED_WITH_REASON,OWNER_DECISION_REQUIRED_OR_SAFE_MINIMAL_ONLY,Use Workspace only for complex operator task area; otherwise use Panel/Queue/Section.,
ML-040,LOOP-07_WLT_FINANCE_BOUNDARY_PREVIEW,control-panel,ops,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,WORKSPACE in control-panel/finance/ (partner-settlement-workspace — WLT bridge read-only),P0,WLT settlement bridge API (CG-033),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Read-only WLT bridge panel/view; no financial calculation or mutation.,
ML-041,LOOP-07_WLT_FINANCE_BOUNDARY_PREVIEW,control-panel,ops,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,WORKSPACE in control-panel/finance/ (captain-payout-workspace — WLT bridge read-only),P0,WLT payout bridge API (CG-034),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Read-only WLT bridge panel/view; no financial calculation or mutation.,
ML-042,LOOP-07_WLT_FINANCE_BOUNDARY_PREVIEW,control-panel,ops,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,WORKSPACE in control-panel/finance/ (refund-queue-workspace — WLT bridge read-only),P0,WLT refund bridge API (CG-035),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Read-only WLT bridge panel/view; no financial calculation or mutation.,
ML-043,LOOP-07_WLT_FINANCE_BOUNDARY_PREVIEW,control-panel,ops,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,WORKSPACE in control-panel/finance/ (commission-breakdown-workspace — WLT bridge read-only),P1,WLT commission bridge API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Read-only WLT bridge panel/view; no financial calculation or mutation.,
ML-044,LOOP-07_WLT_FINANCE_BOUNDARY_PREVIEW,control-panel,ops,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,WORKSPACE in control-panel/finance/ (platform-fee-audit-workspace — WLT bridge read-only),P1,WLT fee bridge API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Read-only WLT bridge panel/view; no financial calculation or mutation.,
ML-045,LOOP-07_WLT_FINANCE_BOUNDARY_PREVIEW,control-panel,ops,WLT_BRIDGE,READ_ONLY_BRIDGE_PANEL,WORKSPACE in control-panel/finance/ (field-commission-workspace — WLT bridge read-only),P1,WLT field commission bridge API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_WLT_OR_CONTRACT,Read-only WLT bridge panel/view; no financial calculation or mutation.,
ML-046,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,SCREEN,SCREEN,SCREEN in control-panel/support/ (SupportHubScreen.tsx or SupportTicketListScreen.tsx),P0,support ticket API (CG-032),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Control Panel screen only if it has clear route/entry and queue/list role.,
ML-047,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,WORKSPACE,WORKSPACE_ONLY_IF_COMPLEX_CP; otherwise PANEL,WORKSPACE in control-panel/support/ (SupportTicketDetailWorkspace.tsx),P0,support ticket API (CG-032),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Use Workspace only for complex operator task area; otherwise use Panel/Queue/Section.,
ML-048,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,SCREEN,SCREEN,SCREEN in control-panel/support/ (SupportSlaDashboardScreen.tsx),P1,SLA metrics API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Control Panel screen only if it has clear route/entry and queue/list role.,
ML-049,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,SCREEN,SCREEN,SCREEN in control-panel/support/ (SupportEscalationQueueScreen.tsx),P0,escalation API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Control Panel screen only if it has clear route/entry and queue/list role.,
ML-050,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,WORKSPACE,WORKSPACE_ONLY_IF_COMPLEX_CP; otherwise PANEL,WORKSPACE in control-panel/support/ (OpsClientMessagingWorkspace.tsx),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Use Workspace only for complex operator task area; otherwise use Panel/Queue/Section.,
ML-051,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,WORKSPACE,WORKSPACE_ONLY_IF_COMPLEX_CP; otherwise PANEL,WORKSPACE in control-panel/support/ (OpsPartnerMessagingWorkspace.tsx),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Use Workspace only for complex operator task area; otherwise use Panel/Queue/Section.,
ML-052,LOOP-06_CONTROL_PANEL_SUPPORT_PARTNERS_AUDIT,control-panel,ops,WORKSPACE,WORKSPACE_ONLY_IF_COMPLEX_CP; otherwise PANEL,WORKSPACE in control-panel/support/ (OpsCaptainMessagingWorkspace.tsx),P1,messaging API (CG-030 CG-031),SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Use Workspace only for complex operator task area; otherwise use Panel/Queue/Section.,
ML-053,LOOP-07_CATALOG_GOVERNANCE_PREVIEW,control-panel,ops,OPS_ACTION,SECTION_OR_PANEL,OPS_ACTION SECTION within ControlPanelDshCatalogScreen.tsx or ControlPanelDshCatalogCategoriesScreen.tsx (item-approval-section),P1,catalog approval API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
ML-054,LOOP-07_CATALOG_GOVERNANCE_PREVIEW,control-panel,ops,OPS_ACTION,SECTION_OR_PANEL,OPS_ACTION SECTION or WORKSPACE in control-panel/catalogs/ (catalog-publishing-gate),P1,catalog publish API,SKELETON_ADDED_NEEDS_VISUAL_REVIEW,UI_PREVIEW_ONLY_BLOCKED_BY_CONTRACT,Panel/Queue/Section inside existing Control Panel domain; Workspace only if justified.,
